"Seq","Status","Account No.","Name","Type","Reference","Amount*","Freight*","Disc%","Discount*","Other*","Balance*","Terms","Salesperson","Date","Factor","Division","Aging","Past Due Status","Due Days","Due Date","Charge Back No.","Sales Period","Date Paid","Batch","Cust Ck No.","Cust Ck Date","Cust Ck Amount","Assign. No.","Assign. Date","Reason","Description","Collection","Cust PO","Ship-To","Approval","Cust ChgBack No.","Remarks","Trail","Manifest","Rank","State", 
"1","Open","ST0001","STAGE STORES INC","Invoice","100014","486.00",".00","  .00%",".00",".00","486.00","NET 30","AF","08/21/2013","W","PB","136","91 to 120"," 30","09/20/2013","","08/13","","","","","","000011","08/29/2013","","","No collection Info","20020548","000707","111550","","","100014","","","TX",
"2","Open","ST0001","STAGE STORES INC","Invoice","100015","558.00",".00","  .00%",".00",".00","558.00","NET 30","AF","08/21/2013","W","PB","136","91 to 120"," 30","09/20/2013","","08/13","","","","","","000011","08/29/2013","","","No collection Info","20020549","000707","111550","","","100015","","","TX",
"3","Open","ST0001","STAGE STORES INC","Invoice","100016","2,262.00",".00","  .00%",".00",".00","2,262.00","NET 30","AF","08/21/2013","W","PB","136","91 to 120"," 30","09/20/2013","","08/13","","","","","","000011","08/29/2013","","","No collection Info","20020550","000707","111550","","","100016","","","TX",
"4","Open","ZU0001","ZULILY","Invoice","100024","3,816.00",".00","  .00%",".00",".00","3,816.00","NET 30","EE","08/01/2013","W","PB","156","121 to 150"," 30","08/31/2013","","08/13","","","","","","000003","08/06/2013","","","No collection Info","58265-P0000CBD74-6-1","001412","214386","","","100024","","","CO",
"5","Open","ST0001","STAGE STORES INC","Invoice","100042","112.00",".00","  .00%",".00",".00","112.00","NET 30","AF","08/21/2013","W","PB","136","91 to 120"," 30","09/20/2013","","08/13","","","","","","000011","08/29/2013","","","No collection Info","20020552","000707","111550","","","100042","","","TX",
"6","Open","AS0001","AS COOPER AND SONS","Invoice","100047","208.68","28.68","  .00%",".00",".00","208.68","NET 30","MC","09/05/2013","W","PB","121","91 to 120"," 30","10/05/2013","","08/13","","","","","","000015","09/05/2013","","","No collection Info","33962","001419","117285","","","100047","","","NJ",
"7","Open","AS0001","AS COOPER AND SONS","Invoice","100048","196.68","28.68","  .00%",".00",".00","196.68","NET 30","MC","09/05/2013","W","PB","121","91 to 120"," 30","10/05/2013","","08/13","","","","","","000015","09/05/2013","","","No collection Info","33969","001419","117285","","","100048","","","NJ",
"8","Open","SW0001","SW RETAIL","Invoice","100066","144.48","48.48","  .00%",".00",".00","144.48","NET 30","EE","09/05/2013","W","PB","121","91 to 120"," 30","10/05/2013","","08/13","","","","","","000088","11/04/2013","","","No collection Info","BT813","001701","327640","","","100066","","","NJ",
"9","Open","SW0001","SW RETAIL","Invoice","100067","245.40","53.40","  .00%",".00",".00","245.40","NET 30","EE","09/05/2013","W","PB","121","91 to 120"," 30","10/05/2013","","08/13","","","","","","000021","09/05/2013","","","No collection Info","BT813","001702","327640","","","100067","","","NJ",
"10","Open","SW0001","SW RETAIL","Invoice","100068","142.36","46.36","  .00%",".00",".00","142.36","NET 30","EE","09/05/2013","W","PB","121","91 to 120"," 30","10/05/2013","","08/13","","","","","","000021","09/05/2013","","","No collection Info","BT813","001703","327640","","","100068","","","NJ",
"11","Open","SW0001","SW RETAIL","Invoice","100070","248.32","56.32","  .00%",".00",".00","248.32","NET 30","EE","08/29/2013","W","PB","128","91 to 120"," 30","09/28/2013","","08/13","","","","","","000013","08/29/2013","","","No collection Info","BT813","001705","327640","","","100070","","","NY",
"12","Open","SW0001","SW RETAIL","Invoice","100071","145.72","49.72","  .00%",".00",".00","145.72","NET 30","EE","08/29/2013","W","PB","128","91 to 120"," 30","09/28/2013","","08/13","","","","","","000013","08/29/2013","","","No collection Info","BT813","001706","327640","","","100071","","","NY",
"13","Open","SW0001","SW RETAIL","Invoice","100077","145.72","49.72","  .00%",".00",".00","145.72","NET 30","EE","08/29/2013","W","PB","128","91 to 120"," 30","09/28/2013","","08/13","","","","","","000013","08/29/2013","","","No collection Info","BT813","001712","327640","","","100077","","","GA",
"14","Open","SW0001","SW RETAIL","Invoice","100080","145.72","49.72","  .00%",".00",".00","145.72","NET 30","EE","08/29/2013","W","PB","128","91 to 120"," 30","09/28/2013","","08/13","","","","","","000013","08/29/2013","","","No collection Info","BT813","001715","327640","","","100080","","","OH",
"15","Open","SW0001","SW RETAIL","Invoice","100083","145.72","49.72","  .00%",".00",".00","145.72","NET 30","EE","08/29/2013","W","PB","128","91 to 120"," 30","09/28/2013","","08/13","","","","","","000014","08/29/2013","","","No collection Info","BT813","001718","327640","","","100083","","","GA",
"16","Open","SW0001","SW RETAIL","Invoice","100087","145.72","49.72","  .00%",".00",".00","145.72","NET 30","EE","08/29/2013","W","PB","128","91 to 120"," 30","09/28/2013","","08/13","","","","","","000014","08/29/2013","","","No collection Info","BT813","001722","327640","","","100087","","","OH",
"17","Open","SW0001","SW RETAIL","Invoice","100088","145.72","49.72","  .00%",".00",".00","145.72","NET 30","EE","08/29/2013","W","PB","128","91 to 120"," 30","09/28/2013","","08/13","","","","","","000014","08/29/2013","","","No collection Info","BT813","001723","327640","","","100088","","","OH",
"18","Open","AZ0001","AMAZON.COM","Invoice","100093","10,535.00",".00","  .00%",".00",".00","10,535.00","NET 60","EE","08/09/2013","W","PB","118","91 to 120"," 60","10/08/2013","","08/13","","","","","","","","","","No collection Info","Z9940408","000020","NONE","","","100093","","","KY",
"19","Open","AS0001","AS COOPER AND SONS","Invoice","100097","236.16",".00","  .00%",".00",".00","236.16","NET 30","MC","09/05/2013","W","PB","121","91 to 120"," 30","10/05/2013","","08/13","","","","","","000015","09/05/2013","","","No collection Info","33958","001419","117285","","","100097","","","NJ",
"20","Open","SW0001","SW RETAIL","Invoice","100104","192.00",".00","  .00%",".00",".00","192.00","NET 30","EE","09/05/2013","W","PB","121","91 to 120"," 30","10/05/2013","","08/13","","","","","","000087","11/04/2013","","","No collection Info","BT813","001700","327640","","","100104","","","NJ",
"21","Open","DG0001","DOLLAR GENERAL LLC","Invoice","100106","6,720.00",".00","  .00%",".00",".00","6,720.00","NET 75","DS","09/10/2013","W","PB","71","31 to 60"," 75","11/24/2013","","08/13","","","","","","000016","08/29/2013","","","No collection Info","","000519","APRVD JM","","","","","","KY",
"22","Open","DG0001","DOLLAR GENERAL LLC","Invoice","100109","7,560.00",".00","  .00%",".00",".00","7,560.00","NET 75","DS","09/10/2013","W","PB","71","31 to 60"," 75","11/24/2013","","08/13","","","","","","000016","08/29/2013","","","No collection Info","","000522","APRV JM","","","","","","MS",
"23","Open","DG0001","DOLLAR GENERAL LLC","Invoice","100110","12,600.00",".00","  .00%",".00",".00","12,600.00","NET 75","DS","09/10/2013","W","PB","71","31 to 60"," 75","11/24/2013","","08/13","","","","","","000016","08/29/2013","","","No collection Info","","000524","APRVD JM","","","","","","MO",
"24","Open","DG0001","DOLLAR GENERAL LLC","Invoice","100111","7,392.00",".00","  .00%",".00",".00","7,392.00","NET 75","DS","09/10/2013","W","PB","71","31 to 60"," 75","11/24/2013","","08/13","","","","","","000016","08/29/2013","","","No collection Info","","000525","APRVD JM","","","","","","FL",
"25","Open","DG0001","DOLLAR GENERAL LLC","Invoice","100112","21,840.00",".00","  .00%",".00",".00","21,840.00","NET 75","DS","09/10/2013","W","PB","71","31 to 60"," 75","11/24/2013","","08/13","","","","","","000016","08/29/2013","","","No collection Info","","000526","APRVD JM","","","","","","OH",
"26","Open","DG0001","DOLLAR GENERAL LLC","Invoice","100113","8,232.00",".00","  .00%",".00",".00","8,232.00","NET 75","DS","09/10/2013","W","PB","71","31 to 60"," 75","11/24/2013","","08/13","","","","","","000016","08/29/2013","","","No collection Info","F0PV81","000527","APRVD JM","","","100113","","","SC",
"27","Open","DG0001","DOLLAR GENERAL LLC","Invoice","100114","16,800.00",".00","  .00%",".00",".00","16,800.00","NET 75","DS","09/10/2013","W","PB","71","31 to 60"," 75","11/24/2013","","08/13","","","","","","000016","08/29/2013","","","No collection Info","F0PV82","000528","APRVD JM","","","100114","","","IN",
"28","Open","DG0001","DOLLAR GENERAL LLC","Invoice","100115","11,928.00",".00","  .00%",".00",".00","11,928.00","NET 75","DS","09/10/2013","W","PB","71","31 to 60"," 75","11/24/2013","","08/13","","","","","","000016","08/29/2013","","","No collection Info","F0PV83","000529","APRVD JM","","","100115","","","AL",
"29","Open","AS0001","AS COOPER AND SONS","Invoice","100125","144.00",".00","  .00%",".00",".00","144.00","NET 30","MC","08/30/2013","W","PB","127","91 to 120"," 30","09/29/2013","","08/13","","","","","","","","","","No collection Info","ABS","001419","117285","","LINE 00005J VOIDED.  (STYLE 9892538)","100125","","","NJ",
"30","Open","AS0001","AS COOPER AND SONS","Invoice","100143","216.00",".00","  .00%",".00",".00","216.00","NET 30","MC","09/03/2013","W","PB","123","91 to 120"," 30","10/03/2013","","08/13","","","","","","","","","","No collection Info","33964","001419","117285","","LINE 00015B VOIDED.  (STYLE 1094213)","100143","","","NJ",
"31","Open","FM0001","FORMAN MILLS","Invoice","100146","1,620.00",".00","  .00%",".00",".00","1,620.00","NET 60","JB","09/03/2013","W","PB","93","61 to 90"," 60","11/02/2013","","08/13","","","","","","000110","12/03/2013","","","No collection Info","299198","FM0001","215949","","","100146","","","NJ",
"32","Open","KD0003","KID DYNOMITE","Invoice","100151","745.55","90.35","  .00%",".00",".00","745.55","NET 30","EE","09/11/2013","W","PB","115","61 to 90"," 30","10/11/2013","","08/13","","","","","","000031","09/11/2013","","","No collection Info","8213","KD0003","276389","","","100151","","","NY",
"33","Open","AS0001","AS COOPER AND SONS","Invoice","100166","191.40","29.40","  .00%",".00",".00","191.40","NET 30","MC","09/05/2013","W","PB","121","91 to 120"," 30","10/05/2013","","08/13","","","","","","000015","09/05/2013","","","No collection Info","33959","001419","117285","","","100166","","","NJ",
