"Seq","Name","Amount*","Remarks","Collection","Assign. No.","Date","Terms","Approval","Description","TS Status","Account No.","Cust PO","Status","Reference","Disc%","Freight*","Balance*","Due Date","Discount*","Type","Other*","Division","Aging","Past Due Status","Due Days","Charge Back No.","Salesperson","Sales Period","Date Paid","Batch","Cust Ck No.","Cust Ck Date","Cust Ck Amount","Factor","Assign. Date","Reason","Ship-To","Cust ChgBack No.","Trail","Manifest","Rank","Shipped on","Ship Via","Pieces*","Cartons*","Pro Number","TS Amount*","TS Freight*","TS Variance*","EDI Batch No.","Tracking No","TS Comments","State","Store","DC No.", 
"1","A&E STORES","2,520.00","","No collection Info","000120","12/18/2013","NET 30","813291","","Shipped","AE0001","KF931B","Open","101237","  .00%",".00","2,520.00","01/18/2014",".00","Invoice",".00","PB","38","31 to 60"," 30","","EE","12/13","","","","","","W","12/19/2013","","001420","","101237","G318","","12/16/13","ESSENTIAL","   480","    40","167938","2,520.00","    .00",".00","","","","NJ","","",
"2","A&E STORES","1,842.00","","No collection Info","000120","12/18/2013","NET 30","813293","","Shipped","AE0001","KF932B","Open","101238","  .00%",".00","1,842.00","01/18/2014",".00","Invoice",".00","PB","38","31 to 60"," 30","","EE","12/13","","","","","","W","12/19/2013","","001420","","101238","G318","","12/18/13","ESSENTIAL","   312","    26","167938","1,842.00","    .00",".00","","","","NJ","","",
"3","A&E STORES","810.00","","No collection Info","000120","12/18/2013","NET 30","813292","","Shipped","AE0001","KF934B","Open","101239","  .00%",".00","810.00","01/18/2014",".00","Invoice",".00","PB","38","31 to 60"," 30","","EE","12/13","","","","","","W","12/19/2013","","001420","","101239","G318","","12/18/13","ESSENTIAL","   120","    10","167938","810.00","    .00",".00","","","","NJ","","",
"4","A&E STORES","4,320.00","","No collection Info","000120","12/18/2013","NET 30","813290","","Shipped","AE0001","KF935B","Open","101240","  .00%",".00","4,320.00","01/18/2014",".00","Invoice",".00","PB","38","31 to 60"," 30","","EE","12/13","","","","","","W","12/19/2013","","001420","","101240","G318","","12/18/13","ESSENTIAL","  1200","   100","167938","4,320.00","    .00",".00","","","","NJ","","",
"5","A&E STORES","2,451.00","","No collection Info","000120","12/18/2013","NET 30","813299","","Shipped","AE0001","KF936B","Open","101241","  .00%",".00","2,451.00","01/18/2014",".00","Invoice",".00","PB","38","31 to 60"," 30","","EE","12/13","","","","","","W","12/19/2013","","001420","","101241","G318","","12/18/13","ESSENTIAL","   516","    53","167938","2,451.00","    .00",".00","","","","NJ","","",
"6","A&E STORES","720.00","","No collection Info","000145","01/31/2014","NET 30","899053","","Shipped","AE0001","KF973B","Open","101484","  .00%",".00","720.00","03/02/2014",".00","Invoice",".00","PB","","Current"," 30","","EE","01/14","","","","","","W","02/03/2014","","001420","","101484","G360","","01/31/14","CALL TO ROUTE","   144","    12","179370","720.00","    .00",".00","","","","NJ","","",
"7","A&E STORES","693.00","","No collection Info","000145","01/31/2014","NET 30","899052","","Shipped","AE0001","KF974B","Open","101485","  .00%",".00","693.00","03/02/2014",".00","Invoice",".00","PB","","Current"," 30","","EE","01/14","","","","","","W","02/03/2014","","001420","","101485","G360","","01/31/14","CALL TO ROUTE","   132","    11","179370","693.00","    .00",".00","","","","NJ","","",
"8","A&E STORES","567.00","","No collection Info","000145","01/31/2014","NET 30","899051","","Shipped","AE0001","KF975B","Open","101486","  .00%",".00","567.00","03/02/2014",".00","Invoice",".00","PB","","Current"," 30","","EE","01/14","","","","","","W","02/03/2014","","001420","","101486","G360","","01/31/14","CALL TO ROUTE","   108","     9","179370","567.00","    .00",".00","","","","NJ","","",
"9","A&E STORES","540.00","","No collection Info","000145","01/31/2014","NET 30","899054","","Shipped","AE0001","KF976B","Open","101487","  .00%",".00","540.00","03/02/2014",".00","Invoice",".00","PB","","Current"," 30","","EE","01/14","","","","","","W","02/03/2014","","001420","","101487","G360","","01/31/14","CALL TO ROUTE","   108","     9","179370","540.00","    .00",".00","","","","NJ","","",
"10","AVE. J STORES","597.18","","No collection Info","000080","10/25/2013","NET 60","589492","","Shipped","AJ0001","101513","Open","100915","  .00%","90.18","597.18","12/24/2013",".00","Invoice",".00","PB","63","61 to 90"," 60","","EE","10/13","","","","","","W","11/04/2013","","AJ0001","","100915","G214","","10/25/13","FEDEX GROUND","    72","     6","","597.18","  90.18",".00","","557841385930","","NY","","",
"11","AUDUBON KIDS #35","72.79","","No collection Info","000116","12/09/2013","NET 10 EOM + 30","788869","","Shipped","AK0001","16879","Open","101173","  .00%","30.79","72.79","01/30/2014",".00","Invoice",".00","PB","26","1 to 30"," 20","","EE","12/13","","","","","","W","12/17/2013","","AK0001","","101173","G303","","12/09/13","CALL TO ROUTE","    12","     1","MULTI","72.79","  30.79",".00","","","","NJ","","",
"12","ALCO STORES","51,192.00","","No collection Info","000101","11/14/2013","NET 60","509157","","Shipped","AL0001","804050","Open","101060","  .00%",".00","51,192.00","01/14/2014",".00","Invoice",".00","PB","42","31 to 60"," 60","","AF","11/13","","","","","","W","11/19/2013","","001688","","101060","G271","","11/14/13","UPS COLLECT","  5688","   948","153895","51,192.00","    .00",".00","","","","","","",
"13","AS COOPER AND SONS","144.00","LINE 00005J VOIDED.  (STYLE 9892538)","No collection Info","","08/30/2013","NET 30","117285","","Cancelled","AS0001","ABS","Open","100125","  .00%",".00","144.00","09/29/2013",".00","Invoice",".00","PB","149","121 to 150"," 30","","MC","08/13","","","","","","W","","","001419","","100125","","","  /  /","","     0","     0","",".00","    .00","144.00","","","Voided Line 00005J","NJ","","",
"14","AS COOPER AND SONS","216.00","LINE 00015B VOIDED.  (STYLE 1094213)","No collection Info","","09/03/2013","NET 30","117285","","Cancelled","AS0001","33964","Open","100143","  .00%",".00","216.00","10/03/2013",".00","Invoice",".00","PB","145","121 to 150"," 30","","MC","08/13","","","","","","W","","","001419","","100143","","","  /  /","","     0","     0","",".00","    .00","216.00","","","Voided Line 00015B Voided Line 00015A","NJ","","",
"15","AS COOPER AND SONS","208.68","","No collection Info","000015","09/05/2013","NET 30","117285","","Shipped","AS0001","33962","Open","100047","  .00%","28.68","208.68","10/05/2013",".00","Invoice",".00","PB","143","121 to 150"," 30","","MC","08/13","","","","","","W","09/05/2013","","001419","","100047","G-090513","","09/05/13","UPSN-UNITED PAR","    24","     2","","208.68","  28.68",".00","","","","NJ","","",
"16","AS COOPER AND SONS","196.68","","No collection Info","000015","09/05/2013","NET 30","117285","","Shipped","AS0001","33969","Open","100048","  .00%","28.68","196.68","10/05/2013",".00","Invoice",".00","PB","143","121 to 150"," 30","","MC","08/13","","","","","","W","09/05/2013","","001419","","100048","G-090513","","09/05/13","UPSN-UNITED PAR","    24","     2","","196.68","  28.68",".00","","","","NJ","","",
"17","AS COOPER AND SONS","236.16","","No collection Info","000015","09/05/2013","NET 30","117285","","Shipped","AS0001","33958","Open","100097","  .00%",".00","236.16","10/05/2013",".00","Invoice",".00","PB","143","121 to 150"," 30","","MC","08/13","","","","","","W","09/05/2013","","001419","","100097","G-090513","","09/05/13","UPSN-UNITED PAR","    36","     3","","236.16","    .00",".00","","","","NJ","","",
"18","AS COOPER AND SONS","191.40","","No collection Info","000015","09/05/2013","NET 30","117285","","Shipped","AS0001","33959","Open","100166","  .00%","29.40","191.40","10/05/2013",".00","Invoice",".00","PB","143","121 to 150"," 30","","MC","08/13","","","","","","W","09/05/2013","","001419","","100166","","","09/05/13","UPSN-UNITED PAR","    24","     2","","191.40","  29.40",".00","","","","NJ","","",
