"Seq","Status","Account No.","Name","Type","Reference","Amount*","Freight*","Disc%","Discount*","Other*","Balance*","Terms","Salesperson","Date","Factor","Division","Aging","Past Due Status","Due Days","Due Date","Charge Back No.","Sales Period","Date Paid","Batch","Cust Ck No.","Cust Ck Date","Cust Ck Amount","Assign. No.","Assign. Date","Reason","Description","Collection","Cust PO","Ship-To","Approval","Cust ChgBack No.","Remarks","Trail","Manifest","Rank","TS Status","Shipped on","Ship Via","Pieces*","Cartons*","Pro Number","TS Amount*","TS Freight*","TS Variance*","EDI Batch No.","Tracking No","TS Comments","State","Store","DC No.", 
"1","Open","AE0001","A&E STORES","Invoice","101237","2,520.00",".00","  .00%",".00",".00","2,520.00","NET 30","EE","12/18/2013","W","PB","39","31 to 60"," 30","01/18/2014","","12/13","","","","","","000120","12/19/2013","","","No collection Info","KF931B","001420","813291","","","101237","G318","","Shipped","12/16/13","ESSENTIAL","   480","    40","167938","2,520.00","    .00",".00","","","","NJ","0","",
"2","Open","AE0001","A&E STORES","Invoice","101238","1,842.00",".00","  .00%",".00",".00","1,842.00","NET 30","EE","12/18/2013","W","PB","39","31 to 60"," 30","01/18/2014","","12/13","","","","","","000120","12/19/2013","","","No collection Info","KF932B","001420","813293","","","101238","G318","","Shipped","12/18/13","ESSENTIAL","   312","    26","167938","1,842.00","    .00",".00","","","","NJ","0","",
"3","Open","AE0001","A&E STORES","Invoice","101239","810.00",".00","  .00%",".00",".00","810.00","NET 30","EE","12/18/2013","W","PB","39","31 to 60"," 30","01/18/2014","","12/13","","","","","","000120","12/19/2013","","","No collection Info","KF934B","001420","813292","","","101239","G318","","Shipped","12/18/13","ESSENTIAL","   120","    10","167938","810.00","    .00",".00","","","","NJ","0","",
"4","Open","AE0001","A&E STORES","Invoice","101240","4,320.00",".00","  .00%",".00",".00","4,320.00","NET 30","EE","12/18/2013","W","PB","39","31 to 60"," 30","01/18/2014","","12/13","","","","","","000120","12/19/2013","","","No collection Info","KF935B","001420","813290","","","101240","G318","","Shipped","12/18/13","ESSENTIAL","  1200","   100","167938","4,320.00","    .00",".00","","","","NJ","0","",
"5","Open","AE0001","A&E STORES","Invoice","101241","2,451.00",".00","  .00%",".00",".00","2,451.00","NET 30","EE","12/18/2013","W","PB","39","31 to 60"," 30","01/18/2014","","12/13","","","","","","000120","12/19/2013","","","No collection Info","KF936B","001420","813299","","","101241","G318","","Shipped","12/18/13","ESSENTIAL","   516","    53","167938","2,451.00","    .00",".00","","","","NJ","0","",
"6","Open","AE0001","A&E STORES","Invoice","101484","720.00",".00","  .00%",".00",".00","720.00","NET 30","EE","01/31/2014","W","PB","","Current"," 30","03/02/2014","","01/14","","","","","","000145","02/03/2014","","","No collection Info","KF973B","001420","899053","","","101484","G360","","Shipped","01/31/14","CALL TO ROUTE","   144","    12","179370","720.00","    .00",".00","","","","NJ","0","",
"7","Open","AE0001","A&E STORES","Invoice","101485","693.00",".00","  .00%",".00",".00","693.00","NET 30","EE","01/31/2014","W","PB","","Current"," 30","03/02/2014","","01/14","","","","","","000145","02/03/2014","","","No collection Info","KF974B","001420","899052","","","101485","G360","","Shipped","01/31/14","CALL TO ROUTE","   132","    11","179370","693.00","    .00",".00","","","","NJ","0","",
"8","Open","AE0001","A&E STORES","Invoice","101486","567.00",".00","  .00%",".00",".00","567.00","NET 30","EE","01/31/2014","W","PB","","Current"," 30","03/02/2014","","01/14","","","","","","000145","02/03/2014","","","No collection Info","KF975B","001420","899051","","","101486","G360","","Shipped","01/31/14","CALL TO ROUTE","   108","     9","179370","567.00","    .00",".00","","","","NJ","0","",
"9","Open","AE0001","A&E STORES","Invoice","101487","540.00",".00","  .00%",".00",".00","540.00","NET 30","EE","01/31/2014","W","PB","","Current"," 30","03/02/2014","","01/14","","","","","","000145","02/03/2014","","","No collection Info","KF976B","001420","899054","","","101487","G360","","Shipped","01/31/14","CALL TO ROUTE","   108","     9","179370","540.00","    .00",".00","","","","NJ","0","",
"10","Open","AJ0001","AVE. J STORES","Invoice","100915","597.18","90.18","  .00%",".00",".00","597.18","NET 60","EE","10/25/2013","W","PB","64","61 to 90"," 60","12/24/2013","","10/13","","","","","","000080","11/04/2013","","","No collection Info","101513","AJ0001","589492","","","100915","G214","","Shipped","10/25/13","FEDEX GROUND","    72","     6","","597.18","  90.18",".00","","557841385930","","NY","","",
"11","Open","AK0001","AUDUBON KIDS #35","Invoice","101173","72.79","30.79","  .00%",".00",".00","72.79","NET 10 EOM + 30","EE","12/09/2013","W","PB","27","1 to 30"," 20","01/30/2014","","12/13","","","","","","000116","12/17/2013","","","No collection Info","16879","AK0001","788869","","","101173","G303","","Shipped","12/09/13","CALL TO ROUTE","    12","     1","MULTI","72.79","  30.79",".00","","","","NJ","","",
