textbox67,Description,CreationDate,WarehouseTransactionID,ReferenceNum,PONum,Carrier,Company,EarliestShipDate,ShipCancelDate,textbox32,Notes
Warehouse: Warehouse 6,JDE Associates,2/6/2014,181510,101693B,48X294115,LTL,HEB SAN MARCOS,,, 00:00,
Warehouse: Warehouse 6,JDE Associates,2/4/2014,180978,101725,0925-14,LTL,PEPES (BENITEZ MENDEZ,11/1/2013,3/30/2014, 00:00,PK1
Warehouse: Warehouse 6,JDE Associates,2/4/2014,180970,101717,1101,LTL,OLAZABAL,11/15/2013,3/30/2014, 00:00,PK1
Warehouse: Warehouse 6,JDE Associates,1/31/2014,180377,101697,1033206,LTL,US MARINE CORPS,12/1/2013,2/15/2014,2/13/2014 00:00,2014/02/11 21:27 - READY TO SHIP
Warehouse: Warehouse 6,JDE Associates,1/31/2014,180378,101698,1033206,LTL,US MARINE CORPS,12/1/2013,2/15/2014,2/13/2014 00:00,2014/02/11 21:27 - READY TO SHIP
Warehouse: Warehouse 6,JDE Associates,1/31/2014,180379,101699,1033206,LTL,US MARINE CORPS,12/1/2013,2/15/2014,2/13/2014 00:00,2014/02/11 21:27 - READY TO SHIP
Warehouse: Warehouse 6,JDE Associates,1/31/2014,180380,101700,1033206,LTL,US MARINE CORPS,12/1/2013,2/15/2014,2/13/2014 00:00,2014/02/11 21:27 - READY TO SHIP
Warehouse: Warehouse 6,JDE Associates,1/31/2014,180381,101701,1033206,LTL,US MARINES CORPS,12/1/2013,2/15/2014,2/13/2014 00:00,2014/02/11 21:27 - READY TO SHIP
Warehouse: Warehouse 6,JDE Associates,1/31/2014,180382,101702,1033206,LTL,US MARINE CORPS,12/1/2013,2/15/2014,2/13/2014 00:00,2014/02/11 21:27 - READY TO SHIP
Warehouse: Warehouse 6,JDE Associates,1/31/2014,180383,101703,1033206,LTL,US MARINE CORPS,12/1/2013,2/15/2014,2/13/2014 00:00,2014/02/11 21:27 - READY TO SHIP
Warehouse: Warehouse 6,JDE Associates,1/31/2014,180384,101704,1033206,LTL,US MARINE CORPS,12/1/2013,2/15/2014,2/13/2014 00:00,2014/02/11 21:27 - READY TO SHIP
Warehouse: Warehouse 6,JDE Associates,2/12/2014,183241,101908,120413A,LTL,KIDDYTIME,12/4/2013,2/25/2014, 00:00,
Warehouse: Warehouse 6,JDE Associates,2/14/2014,184094,101926,101713,LTL,NEVERLAND,12/30/2013,2/25/2014, 00:00,
Warehouse: Warehouse 6,JDE Associates,1/9/2014,173617,101415,1202,LTL,SANDYS NASSAU BAHAMAS C/O,1/1/2014,5/15/2014, 00:00,"2014/01/28 22:30 - WAITING FOR FREIGHT ; 2014/01/19 16:16 - waiting for routing info, request sent to jde "
Warehouse: Warehouse 6,JDE Associates,1/28/2014,179403,101490,5105,LTL,BAMBI DE HUMACAO INC,1/1/2014,5/15/2014, 00:00,
Warehouse: Warehouse 6,JDE Associates,1/28/2014,179415,101502,68552,LTL,IMPORTADORA MADURO,1/1/2014,5/15/2014, 00:00,2014/01/28 22:30 - WAITING FOR FREIGHT 
Warehouse: Warehouse 6,JDE Associates,1/28/2014,179417,101504,68554,LTL,IMPORTADORA MADURO,1/1/2014,5/15/2014, 00:00,2014/01/28 22:30 - WAITING FOR FREIGHT 
Warehouse: Warehouse 6,JDE Associates,1/28/2014,179422,101509,1202,LTL,SANDYS NASSAU BAHAMAS C/O,1/1/2014,5/15/2014, 00:00,2014/01/28 22:30 - WAITING FOR FREIGHT 
Warehouse: Warehouse 6,JDE Associates,2/4/2014,180967,101714,3609,LTL,ATTRACTIONS,1/1/2014,5/15/2014, 00:00,PK1
Warehouse: Warehouse 6,JDE Associates,2/11/2014,182349,101899,4891,LTL,LES MODES JM,1/1/2014,5/15/2014, 00:00,
Warehouse: Warehouse 6,JDE Associates,2/14/2014,184093,101925,12213,LTL,GIGI'S BABY- REKENYA DEAN,1/1/2014,4/25/2014, 00:00,PK1
Warehouse: Warehouse 6,JDE Associates,2/11/2014,182350,101900,210,LTL,PENGUIN KIDS WEAR,1/10/2014,2/10/2014, 00:00,
Warehouse: Warehouse 6,JDE Associates,1/28/2014,179413,101500,68480,LTL,IMPORTADORA MADURO,1/15/2014,5/15/2014, 00:00,2014/01/28 22:30 - WAITING FOR FREIGHT 
Warehouse: Warehouse 6,JDE Associates,1/28/2014,179414,101501,68551,LTL,IMPORTADORA MADURO,1/15/2014,5/15/2014, 00:00,2014/01/28 22:30 - WAITING FOR FREIGHT 
Warehouse: Warehouse 6,JDE Associates,1/28/2014,179416,101503,68553,LTL,IMPORTADORA MADURO,1/15/2014,5/15/2014, 00:00,2014/01/28 22:30 - WAITING FOR FREIGHT 
Warehouse: Warehouse 6,JDE Associates,2/4/2014,180968,101715,4,LTL,BUTTERWORTH HOSPITAL GIFT SHOP,1/15/2014,3/31/2014, 00:00,PK1
Warehouse: Warehouse 6,JDE Associates,2/4/2014,180972,101719,3,LTL,JUST KIDDING AROUND,1/15/2014,3/31/2014, 00:00,PK1
Warehouse: Warehouse 6,JDE Associates,2/4/2014,180975,101722,8,LTL,NADINES,1/15/2014,3/31/2014, 00:00,PK1
Warehouse: Warehouse 6,JDE Associates,2/4/2014,180976,101723,8,LTL,NADINES,1/15/2014,3/31/2014, 00:00,PK1
Warehouse: Warehouse 6,JDE Associates,1/31/2014,180277,101695,100-0038000007 MM,LTL,GABRIEL BROTHERS,1/20/2014,2/7/2014,2/11/2014 3:00:00 PM 15:00,"READY TO SHIP
2014/02/07 07:25 - LABELS PRINTED"
Warehouse: Warehouse 6,JDE Associates,2/11/2014,182354,101904,7001-P0000IUNTC-6-1S,LTL,ZULILY,1/23/2014,1/23/2014,2/13/2014 00:00,2014/02/12 16:24 - READY TO SHIP; 2014/02/12 08:28 - LABELS PRINTED
Warehouse: Warehouse 6,JDE Associates,1/28/2014,179402,101489,608727,LTL,COOKIE'S ON FULTON INC.,1/25/2014,2/25/2014, 00:00,
Warehouse: Warehouse 6,JDE Associates,1/28/2014,179406,101493,608727,LTL,COOKIE'S ON FULTON INC.,1/25/2014,2/25/2014, 00:00,
