"Seq","Status","TS Status","Account No.","Name","Assign. No.","Amount*","Reference","Date","Cust PO","Terms","Approval","Disc%","Freight*","Balance*","Due Date","Discount*","Type","Other*","Division","Aging","Past Due Status","Due Days","Charge Back No.","Salesperson","Sales Period","Date Paid","Batch","Cust Ck No.","Cust Ck Date","Cust Ck Amount","Factor","Assign. Date","Reason","Description","Collection","Ship-To","Cust ChgBack No.","Remarks","Trail","Manifest","Rank","Shipped on","Ship Via","Pieces*","Cartons*","Pro Number","TS Amount*","TS Freight*","TS Variance*","EDI Batch No.","Tracking No","TS Comments","State","Store","DC No.", 
"1","Open","Shipped","AB0001","A.B.C. SUPER STORES","000101","915.32","101085","11/11/2013","102913","NET 30","683415","  .00%","159.32","915.32","12/11/2013",".00","Invoice",".00","PB","28","1 to 30"," 30","","AF","11/13","","","","","","W","11/19/2013","","","No collection Info","AB0002","","","101085","G270","","11/14/13","FEDX-FEDERAL EX","    84","     7","","915.32"," 159.32",".00","","","","NJ","","",
"2","Open","Shipped","AB0001","A.B.C. SUPER STORES","000101","915.32","101086","11/14/2013","102913","NET 30","683417","  .00%","159.32","915.32","12/14/2013",".00","Invoice",".00","PB","25","1 to 30"," 30","","AF","11/13","","","","","","W","11/19/2013","","","No collection Info","AB0003","","","101086","G270","","11/14/13","FEDEX","    84","     7","","915.32"," 159.32",".00","","557841390906","","NY","","",
"3","Open","Shipped","AE0001","A&E STORES","000089","2,730.00","100984","11/04/2013","KJ503B","NET 30","520861","  .00%",".00","2,730.00","12/04/2013",".00","Invoice",".00","PB","35","31 to 60"," 30","","EE","10/13","","","","","","W","11/11/2013","","","No collection Info","001420","","","100984","G251","","11/04/13","CALL TO ROUTE","   300","    25","152913","2,730.00","    .00",".00","","","","NJ","","",
"4","Open","Shipped","AJ0001","AVE. J STORES","000080","597.18","100915","10/25/2013","101513","NET 60","589492","  .00%","90.18","597.18","12/24/2013",".00","Invoice",".00","PB","15","1 to 30"," 60","","EE","10/13","","","","","","W","11/04/2013","","","No collection Info","AJ0001","","","100915","G214","","10/25/13","FEDEX GROUND","    72","     6","","597.18","  90.18",".00","","557841385930","","NY","","",
"5","Open","Shipped","AL0001","ALCO STORES","000058","68,256.00","100254","10/08/2013","804051","NET 60","434294","  .00%",".00","68,256.00","12/07/2013",".00","Invoice",".00","PB","32","31 to 60"," 60","","AF","08/13","","","","","","W","10/09/2013","","","No collection Info","001688","","","100254","G127","","10/08/13","HUB GROUP","  5688","  2169","00HGIU-647149","68,256.00","    .00",".00","","","","","","",
"6","Open","Shipped","AL0001","ALCO STORES","000101","51,192.00","101060","11/14/2013","804050","NET 60","509157","  .00%",".00","51,192.00","01/14/2014",".00","Invoice",".00","PB","","Current"," 60","","AF","11/13","","","","","","W","11/19/2013","","","No collection Info","001688","","","101060","G271","","11/14/13","UPS COLLECT","  5688","   948","153895","51,192.00","    .00",".00","","","","","","",
"7","Open","Shipped","AS0001","AS COOPER AND SONS","000015","208.68","100047","09/05/2013","33962","NET 30","117285","  .00%","28.68","208.68","10/05/2013",".00","Invoice",".00","PB","95","91 to 120"," 30","","MC","08/13","","","","","","W","09/05/2013","","","No collection Info","001419","","","100047","G-090513","","09/05/13","UPSN-UNITED PAR","    24","     2","","208.68","  28.68",".00","","","","NJ","","",
"8","Open","Shipped","AS0001","AS COOPER AND SONS","000015","196.68","100048","09/05/2013","33969","NET 30","117285","  .00%","28.68","196.68","10/05/2013",".00","Invoice",".00","PB","95","91 to 120"," 30","","MC","08/13","","","","","","W","09/05/2013","","","No collection Info","001419","","","100048","G-090513","","09/05/13","UPSN-UNITED PAR","    24","     2","","196.68","  28.68",".00","","","","NJ","","",
"9","Open","Shipped","AS0001","AS COOPER AND SONS","000015","236.16","100097","09/05/2013","33958","NET 30","117285","  .00%",".00","236.16","10/05/2013",".00","Invoice",".00","PB","95","91 to 120"," 30","","MC","08/13","","","","","","W","09/05/2013","","","No collection Info","001419","","","100097","G-090513","","09/05/13","UPSN-UNITED PAR","    36","     3","","236.16","    .00",".00","","","","NJ","","",
"10","Open","Shipped","AS0001","AS COOPER AND SONS","000046","150.28","100139","09/05/2013","33958","NET 30","117285","  .00%","15.28","150.28","10/05/2013",".00","Invoice",".00","PB","95","91 to 120"," 30","","MC","08/13","","","","","","W","09/20/2013","","","No collection Info","001419","","","100139","G-090513","","09/05/13","UPSN-UNITED PAR","    12","     1","","150.28","  15.28",".00","","","","NJ","","",
