"Seq","Invoice No.","Invoice Date","Status","Bill-to","Bill-to Name","Ship-to","Ship-To Name","Order Type","Order No.","Order Date","Pieces*","Cartons*","Amount*`","Delivery Date","Cancel Date","Ship Via","Sales Order","Approval No.","Cxl/Void Date","Consolidator","Factor","Pick Ticket No.","Div/Dept/Class","Salesperson","Reference","Shipped Date","Store No","Must Arrive Date", 
"1","101927","02/14/2014","Billed","NE0001","NEVERLAND","NE0001","NEVERLAND","Original Order","50613","08/06/2013","228","19","1867.80","01/25/2014","02/10/2014","HOLD! FEDEX GRN","000293","CC","","","","","PB-G4-3PS","EE","RGG148","","","",
"2","101504","01/28/2014","Billed","IM0001","IMPORTADORA MADURO","IM0001","IMPORTADORA MADURO","Original Order","68554","08/09/2013","72","6","882.00","01/01/2014","05/15/2014","CALL TO ROUTE","000363","692090","","","W","","PB-BT-2SS","BB","RGG119","","","",
"3","101503","01/28/2014","Billed","IM0001","IMPORTADORA MADURO","IM0001","IMPORTADORA MADURO","Original Order","68553","08/09/2013","324","27","2349.00","01/15/2014","05/15/2014","CALL TO ROUTE","000364","692087","","","W","","PB-GN-ROM","BB","RGG119","","","",
"4","101502","01/28/2014","Billed","IM0001","IMPORTADORA MADURO","IM0001","IMPORTADORA MADURO","Original Order","68552","08/09/2013","324","27","2349.00","01/01/2014","05/15/2014","CALL TO ROUTE","000365","692084","","","W","","PB-GI-ROM","BB","RGG119","","","",
"5","101501","01/28/2014","Billed","IM0001","IMPORTADORA MADURO","IM0001","IMPORTADORA MADURO","Original Order","68551","08/09/2013","540","45","3942.00","01/15/2014","05/15/2014","CALL TO ROUTE","000366","692082","","","W","","PB-BN-2SL","BB","RGG119","","","",
"6","101500","01/28/2014","Billed","IM0001","IMPORTADORA MADURO","IM0001","IMPORTADORA MADURO","Original Order","68480","08/07/2013","576","48","4434.48","01/15/2014","05/15/2014","CALL TO ROUTE","000369","692075","","","W","","PB-BI-2SS","BB","RGG119","","","",
"7","101714","02/04/2014","Billed","AT0001","ATTRACTIONS","AT0001","ATTRACTIONS","Original Order","3609","01/20/2013","24","4","345.00","01/01/2014","05/15/2014","FEDEX GROUND","000389","342878","","","W","","PB-G4-3SS","BB","RGG131","","","",
"8","101490","01/28/2014","Billed","BD0001","BAMBI DE HUMACAO INC","BD0001","BAMBI DE HUMACAO INC","Original Order","5105","08/22/2013","648","54","3758.40","01/01/2014","05/15/2014","CALL TO ROUTE","000540","530465","","","W","","PB-GI-ROM","BB","RGG119","","","",
"9","101509","01/28/2014","Billed","SY0001","SANDYS","SY0001","SANDYS NASSAU BAHAMA","Original Order","1202","08/22/2013","1296","108","7993.44","01/01/2014","05/15/2014","CALL TO ROUTE","000541","604959","","","W","","PB-BI-2SS","BB","RGG119","","","",
"10","101914","02/14/2014","Billed","WD0001","WORLDWIDE DISTRIBUTO","WD0003","SMITH & EDWARDS COMP","Original Order","34-018275","09/24/2013","228","19","1594.56","03/01/2014","03/30/2014","UPSN-UPS","000917","978257","","","W","","PB-GN-ROM","EE","RGG147","","","",
