"Seq","Status","Account No.","Name","Type","Reference","Amount*","Freight*","Disc%","Discount*","Other*","Balance*","Terms","Salesperson","Date","Factor","Division","Aging","Past Due Status","Due Days","Due Date","Charge Back No.","Sales Period","Date Paid","Batch","Cust Ck No.","Cust Ck Date","Cust Ck Amount","Assign. No.","Assign. Date","Reason","Description","Collection","Cust PO","Ship-To","Approval","Cust ChgBack No.","Remarks","Trail","Manifest","Rank","TS Status","Shipped on","Ship Via","Pieces*","Cartons*","Pro Number","TS Amount*","TS Freight*","TS Variance*","EDI Batch No.","Tracking No","TS Comments","State","Store","DC No.", 
"1","Open","AB0001","A.B.C. SUPER STORES","Invoice","101085","915.32","159.32","  .00%",".00",".00","915.32","NET 30","AF","11/11/2013","W","PB","28","1 to 30"," 30","12/11/2013","","11/13","","","","","","000101","11/19/2013","","","No collection Info","102913","AB0002","683415","","","101085","G270","","Shipped","11/14/13","FEDX-FEDERAL EX","    84","     7","","915.32"," 159.32",".00","","","","NJ","","",
"2","Open","AB0001","A.B.C. SUPER STORES","Invoice","101086","915.32","159.32","  .00%",".00",".00","915.32","NET 30","AF","11/14/2013","W","PB","25","1 to 30"," 30","12/14/2013","","11/13","","","","","","000101","11/19/2013","","","No collection Info","102913","AB0003","683417","","","101086","G270","","Shipped","11/14/13","FEDEX","    84","     7","","915.32"," 159.32",".00","","557841390906","","NY","","",
"3","Open","AE0001","A&E STORES","Invoice","100984","2,730.00",".00","  .00%",".00",".00","2,730.00","NET 30","EE","11/04/2013","W","PB","35","31 to 60"," 30","12/04/2013","","10/13","","","","","","000089","11/11/2013","","","No collection Info","KJ503B","001420","520861","","","100984","G251","","Shipped","11/04/13","CALL TO ROUTE","   300","    25","152913","2,730.00","    .00",".00","","","","NJ","","",
"4","Open","AJ0001","AVE. J STORES","Invoice","100915","597.18","90.18","  .00%",".00",".00","597.18","NET 60","EE","10/25/2013","W","PB","15","1 to 30"," 60","12/24/2013","","10/13","","","","","","000080","11/04/2013","","","No collection Info","101513","AJ0001","589492","","","100915","G214","","Shipped","10/25/13","FEDEX GROUND","    72","     6","","597.18","  90.18",".00","","557841385930","","NY","","",
"5","Open","AL0001","ALCO STORES","Invoice","100254","68,256.00",".00","  .00%",".00",".00","68,256.00","NET 60","AF","10/08/2013","W","PB","32","31 to 60"," 60","12/07/2013","","08/13","","","","","","000058","10/09/2013","","","No collection Info","804051","001688","434294","","","100254","G127","","Shipped","10/08/13","HUB GROUP","  5688","  2169","00HGIU-647149","68,256.00","    .00",".00","","","","","","",
"6","Open","AL0001","ALCO STORES","Invoice","101060","51,192.00",".00","  .00%",".00",".00","51,192.00","NET 60","AF","11/14/2013","W","PB","","Current"," 60","01/14/2014","","11/13","","","","","","000101","11/19/2013","","","No collection Info","804050","001688","509157","","","101060","G271","","Shipped","11/14/13","UPS COLLECT","  5688","   948","153895","51,192.00","    .00",".00","","","","","","",
"7","Open","AS0001","AS COOPER AND SONS","Invoice","100125","144.00",".00","  .00%",".00",".00","144.00","NET 30","MC","08/30/2013","W","PB","101","91 to 120"," 30","09/29/2013","","08/13","","","","","","","","","","No collection Info","ABS","001419","117285","","LINE 00005J VOIDED.  (STYLE 9892538)","100125","","","Cancelled","  /  /","","     0","     0","",".00","    .00","144.00","","","Voided Line 00005J","NJ","","",
"8","Open","AS0001","AS COOPER AND SONS","Invoice","100143","216.00",".00","  .00%",".00",".00","216.00","NET 30","MC","09/03/2013","W","PB","97","91 to 120"," 30","10/03/2013","","08/13","","","","","","","","","","No collection Info","33964","001419","117285","","LINE 00015B VOIDED.  (STYLE 1094213)","100143","","","Cancelled","  /  /","","     0","     0","",".00","    .00","216.00","","","Voided Line 00015B Voided Line 00015A","NJ","","",
"9","Open","AS0001","AS COOPER AND SONS","Invoice","100047","208.68","28.68","  .00%",".00",".00","208.68","NET 30","MC","09/05/2013","W","PB","95","91 to 120"," 30","10/05/2013","","08/13","","","","","","000015","09/05/2013","","","No collection Info","33962","001419","117285","","","100047","G-090513","","Shipped","09/05/13","UPSN-UNITED PAR","    24","     2","","208.68","  28.68",".00","","","","NJ","","",
"10","Open","AS0001","AS COOPER AND SONS","Invoice","100048","196.68","28.68","  .00%",".00",".00","196.68","NET 30","MC","09/05/2013","W","PB","95","91 to 120"," 30","10/05/2013","","08/13","","","","","","000015","09/05/2013","","","No collection Info","33969","001419","117285","","","100048","G-090513","","Shipped","09/05/13","UPSN-UNITED PAR","    24","     2","","196.68","  28.68",".00","","","","NJ","","",
"11","Open","AS0001","AS COOPER AND SONS","Invoice","100097","236.16",".00","  .00%",".00",".00","236.16","NET 30","MC","09/05/2013","W","PB","95","91 to 120"," 30","10/05/2013","","08/13","","","","","","000015","09/05/2013","","","No collection Info","33958","001419","117285","","","100097","G-090513","","Shipped","09/05/13","UPSN-UNITED PAR","    36","     3","","236.16","    .00",".00","","","","NJ","","",
"12","Open","AS0001","AS COOPER AND SONS","Invoice","100139","150.28","15.28","  .00%",".00",".00","150.28","NET 30","MC","09/05/2013","W","PB","95","91 to 120"," 30","10/05/2013","","08/13","","","","","","000046","09/20/2013","","","No collection Info","33958","001419","117285","","","100139","G-090513","","Shipped","09/05/13","UPSN-UNITED PAR","    12","     1","","150.28","  15.28",".00","","","","NJ","","",
"13","Open","AS0001","AS COOPER AND SONS","Invoice","100140","162.56","18.56","  .00%",".00",".00","162.56","NET 30","MC","09/05/2013","W","PB","95","91 to 120"," 30","10/05/2013","","08/13","","","","","","000046","09/20/2013","","","No collection Info","33959","001419","117285","","","100140","G-090513","","Shipped","09/05/13","UPSN-UNITED PAR","    12","     1","","162.56","  18.56",".00","","","","NJ","","",
"14","Open","AS0001","AS COOPER AND SONS","Invoice","100141","172.33","19.33","  .00%",".00",".00","172.33","NET 30","MC","09/05/2013","W","PB","95","91 to 120"," 30","10/05/2013","","08/13","","","","","","000046","09/20/2013","","","No collection Info","33960","001419","117285","","","100141","G-090513","","Shipped","09/05/13","UPSN-UNITED PAR","    12","     1","","172.33","  19.33",".00","","","","NJ","","",
"15","Open","AS0001","AS COOPER AND SONS","Invoice","100144","315.98","28.10","  .00%",".00",".00","315.98","NET 30","MC","09/05/2013","W","PB","95","91 to 120"," 30","10/05/2013","","08/13","","","","","","000046","09/20/2013","","","No collection Info","33969","001419","117285","","","100144","G-090513","","Shipped","09/05/13","UPSN-UNITED PAR","    24","     2","","315.98","  28.10",".00","","","","NJ","","",
"16","Open","AS0001","AS COOPER AND SONS","Invoice","100166","191.40","29.40","  .00%",".00",".00","191.40","NET 30","MC","09/05/2013","W","PB","95","91 to 120"," 30","10/05/2013","","08/13","","","","","","000015","09/05/2013","","","No collection Info","33959","001419","117285","","","100166","","","Shipped","09/05/13","UPSN-UNITED PAR","    24","     2","","191.40","  29.40",".00","","","","NJ","","",
"17","Open","AS0001","AS COOPER AND SONS","Invoice","100167","313.16","43.16","  .00%",".00",".00","313.16","NET 30","MC","09/05/2013","W","PB","95","91 to 120"," 30","10/05/2013","","08/13","","","","","","000015","09/05/2013","","","No collection Info","33960","001419","117285","","","100167","G-090513","","Shipped","09/05/13","UPSN-UNITED PAR","    36","     3","","313.16","  43.16",".00","","","","NJ","","",
"18","Open","AS0001","AS COOPER AND SONS","Invoice","100168","78.56","13.76","  .00%",".00",".00","78.56","NET 30","MC","09/05/2013","W","PB","95","91 to 120"," 30","10/05/2013","","08/13","","","","","","000015","09/05/2013","","","No collection Info","33965","001419","117285","","","100168","G-090513","","Shipped","09/05/13","UPSN-UNITED PAR","    12","     1","","78.56","  13.76",".00","","","","NJ","","",
"19","Open","AS0001","AS COOPER AND SONS","Invoice","100169","85.76","13.76","  .00%",".00",".00","85.76","NET 30","MC","09/05/2013","W","PB","95","91 to 120"," 30","10/05/2013","","08/13","","","","","","000015","09/05/2013","","","No collection Info","33966","001419","117285","","","100169","G-090513","","Shipped","09/05/13","UPSN-UNITED PAR","    12","     1","","85.76","  13.76",".00","","","","NJ","","",
"20","Open","AS0001","AS COOPER AND SONS","Invoice","100098","990.84","73.08","  .00%",".00",".00","990.84","NET 30","MC","09/06/2013","W","PB","94","91 to 120"," 30","10/06/2013","","08/13","","","","","","000027","08/29/2013","","","No collection Info","33969","001419","117285","","","100098","G-090613","","Shipped","09/06/13","","    84","     7","","990.84","  73.08",".00","","","","NJ","","",
"21","Open","AS0001","AS COOPER AND SONS","Invoice","100142","182.14","20.14","  .00%",".00",".00","182.14","NET 30","MC","09/09/2013","W","PB","91","61 to 90"," 30","10/09/2013","","08/13","","","","","","000108","12/03/2013","","","No collection Info","33961","001419","117285","","","100142","G-090913","","Shipped","09/09/13","","    12","     1","","182.14","  20.14",".00","","","","NJ","","",
"22","Open","AS0001","AS COOPER AND SONS","Invoice","100219","119.04","11.04","  .00%",".00",".00","119.04","NET 30","MC","09/10/2013","W","PB","90","61 to 90"," 30","10/10/2013","","08/13","","","","","","000026","09/10/2013","","","No collection Info","33969","001419","117285","","","100219","G-091013","","Shipped","09/10/13","","    12","     1","","119.04","  11.04",".00","","","","NJ","","",
