textbox67,Description,CreationDate,WarehouseTransactionID,ReferenceNum,PONum,Carrier,Company,EarliestShipDate,ShipCancelDate,textbox32,Notes
Warehouse: Warehouse 6,JDE Associates,2/4/2014,180978,101725,0925-14,,PEPES (BENITEZ MENDEZ,11/1/2013,3/30/2014, 00:00,"2014/03/10 19:36 - waiting to here from buyer on proper shipping method as GCT doesnt use USParcel ; 2014/03/09 18:33 - requested to ship via fedex as we dont offer USparcel service ; 2014/02/18 21:42 - NEED CUSTOM DOCS, JDE NOTIFIED ; PK1"
Warehouse: Warehouse 6,JDE Associates,2/27/2014,186983,102104,1033211,FedEx,US MARINE CORPS,12/1/2013,3/5/2014,3/14/2014 00:00,"2014/03/13 14:43 - READY TO SHIP; 2014/03/09 18:11 - po's still not open for routing, jde / allen notified "
Warehouse: Warehouse 6,JDE Associates,2/27/2014,186984,102105,1033228,FedEx,US MARINE CORPS,12/1/2013,3/5/2014,3/14/2014 00:00,"2014/03/13 14:43 - READY TO SHIP; 2014/03/09 18:11 - po's still not open for routing, jde / allen notified "
Warehouse: Warehouse 6,JDE Associates,2/27/2014,186985,102106,1033243,FedEx,US MARINE CORPS,12/1/2013,3/5/2014,3/14/2014 00:00,"2014/03/13 14:43 - READY TO SHIP; 2014/03/09 18:11 - po's still not open for routing, jde / allen notified "
Warehouse: Warehouse 6,JDE Associates,2/27/2014,186986,102107,1033228,FedEx,US MARINE CORPS,12/1/2013,3/5/2014,3/14/2014 00:00,"2014/03/13 14:43 - READY TO SHIP; 2014/03/09 18:11 - po's still not open for routing, jde / allen notified "
Warehouse: Warehouse 6,JDE Associates,2/27/2014,186987,102108,1033211,FedEx,US MARINE CORPS,12/1/2013,3/5/2014,3/14/2014 00:00,"2014/03/13 14:43 - READY TO SHIP; 2014/03/09 18:11 - po's still not open for routing, jde / allen notified "
Warehouse: Warehouse 6,JDE Associates,2/27/2014,186988,102109,1033228,FedEx,US MARINE CORPS,12/1/2013,3/5/2014,3/14/2014 00:00,"2014/03/13 14:43 - READY TO SHIP; 2014/03/09 18:11 - po's still not open for routing, jde / allen notified "
Warehouse: Warehouse 6,JDE Associates,2/27/2014,186989,102110,1033243,FedEx,US MARINE CORPS,12/1/2013,3/5/2014,3/14/2014 00:00,"2014/03/13 14:43 - READY TO SHIP; 2014/03/09 18:11 - po's still not open for routing, jde / allen notified "
Warehouse: Warehouse 6,JDE Associates,2/27/2014,186990,102111,1033211,FedEx,US MARINE CORPS,12/1/2013,3/5/2014,3/14/2014 00:00,"2014/03/13 14:43 - READY TO SHIP; 2014/03/09 18:11 - po's still not open for routing, jde / allen notified "
Warehouse: Warehouse 6,JDE Associates,2/27/2014,186991,102112,1033228,FedEx,US MARINE CORPS,12/1/2013,3/5/2014,3/14/2014 00:00,"2014/03/13 14:43 - READY TO SHIP; 2014/03/09 18:11 - po's still not open for routing, jde / allen notified "
Warehouse: Warehouse 6,JDE Associates,2/27/2014,186992,102113,1033243,FedEx,US MARINE CORPS,12/1/2013,3/5/2014,3/14/2014 00:00,"2014/03/13 14:43 - READY TO SHIP; 2014/03/09 18:11 - po's still not open for routing, jde / allen notified "
Warehouse: Warehouse 6,JDE Associates,2/27/2014,186993,102114,1033228,FedEx,US MARINE CORPS,12/1/2013,3/5/2014,3/14/2014 00:00,"2014/03/13 14:43 - READY TO SHIP; 2014/03/09 18:11 - po's still not open for routing, jde / allen notified "
Warehouse: Warehouse 6,JDE Associates,2/27/2014,186994,102115,1033210,FedEx,US MARINE CORPS,12/1/2013,3/5/2014,3/14/2014 00:00,"2014/03/13 14:43 - READY TO SHIP; 2014/03/09 18:11 - po's still not open for routing, jde / allen notified "
Warehouse: Warehouse 6,JDE Associates,2/27/2014,186995,102116,1033226,FedEx,US MARINE CORPS,12/1/2013,3/5/2014,3/14/2014 00:00,"2014/03/13 14:43 - READY TO SHIP; 2014/03/09 18:11 - po's still not open for routing, jde / allen notified "
Warehouse: Warehouse 6,JDE Associates,2/27/2014,186996,102117,1033245,FedEx,US MARINE CORPS,12/1/2013,3/5/2014,3/14/2014 00:00,"2014/03/13 14:43 - READY TO SHIP; 2014/03/09 18:11 - po's still not open for routing, jde / allen notified "
Warehouse: Warehouse 6,JDE Associates,2/27/2014,186997,102118,1033227,FedEx,,12/1/2013,3/5/2014,3/14/2014 00:00,"2014/03/13 14:43 - READY TO SHIP; 2014/03/09 18:11 - po's still not open for routing, jde / allen notified "
Warehouse: Warehouse 6,JDE Associates,2/27/2014,186998,102119,1033244,FedEx,,12/1/2013,3/5/2014,3/14/2014 00:00,"2014/03/13 14:43 - READY TO SHIP; 2014/03/09 18:11 - po's still not open for routing, jde / allen notified "
Warehouse: Warehouse 6,JDE Associates,2/27/2014,186999,102120,1033228,FedEx,US MARINE CORPS,12/1/2013,3/5/2014,3/14/2014 00:00,"2014/03/13 14:43 - READY TO SHIP; 2014/03/09 18:11 - po's still not open for routing, jde / allen notified "
Warehouse: Warehouse 6,JDE Associates,2/27/2014,187000,102121,1033243,FedEx,US MARINE CORPS,12/1/2013,3/5/2014,3/14/2014 00:00,"2014/03/13 14:43 - READY TO SHIP; 2014/03/09 18:11 - po's still not open for routing, jde / allen notified "
Warehouse: Warehouse 6,JDE Associates,2/27/2014,187001,102122,1033211,FedEx,US MARINES CORPS,12/1/2013,3/5/2014,3/14/2014 00:00,"2014/03/13 14:43 - READY TO SHIP; 2014/03/09 18:11 - po's still not open for routing, jde / allen notified "
Warehouse: Warehouse 6,JDE Associates,2/27/2014,187002,102123,1033228,FedEx,US MARINES CORPS,12/1/2013,3/5/2014,3/14/2014 00:00,"2014/03/13 14:43 - READY TO SHIP; 2014/03/09 18:11 - po's still not open for routing, jde / allen notified "
Warehouse: Warehouse 6,JDE Associates,2/27/2014,187003,102124,1033243,FedEx,US MARINES CORPS,12/1/2013,3/5/2014,3/14/2014 00:00,"2014/03/13 14:43 - READY TO SHIP; 2014/03/09 18:11 - po's still not open for routing, jde / allen notified "
Warehouse: Warehouse 6,JDE Associates,2/27/2014,187004,102125,1033228,FedEx,US MARINE CORPS,12/1/2013,3/5/2014,3/14/2014 00:00,"2014/03/13 14:43 - READY TO SHIP; 2014/03/09 18:11 - po's still not open for routing, jde / allen notified "
Warehouse: Warehouse 6,JDE Associates,2/27/2014,187005,102126,1033243,FedEx,US MARINE CORPS,12/1/2013,3/5/2014,3/14/2014 00:00,"2014/03/13 14:43 - READY TO SHIP; 2014/03/09 18:11 - po's still not open for routing, jde / allen notified "
Warehouse: Warehouse 6,JDE Associates,2/27/2014,187006,102127,1033211,FedEx,US MARINE CORPS,12/1/2013,3/5/2014,3/14/2014 00:00,"2014/03/13 14:43 - READY TO SHIP; 2014/03/09 18:11 - po's still not open for routing, jde / allen notified "
Warehouse: Warehouse 6,JDE Associates,2/27/2014,187007,102128,1033228,FedEx,US MARINE CORPS,12/1/2013,3/5/2014,3/14/2014 00:00,"2014/03/13 14:43 - READY TO SHIP; 2014/03/09 18:11 - po's still not open for routing, jde / allen notified "
Warehouse: Warehouse 6,JDE Associates,2/27/2014,187008,102129,1033243,FedEx,US MARINE CORPS,12/1/2013,3/5/2014,3/14/2014 00:00,"2014/03/13 14:43 - READY TO SHIP; 2014/03/09 18:11 - po's still not open for routing, jde / allen notified "
Warehouse: Warehouse 6,JDE Associates,2/27/2014,187009,102130,1033228,FedEx,US MARINE CORPS,12/1/2013,3/5/2014,3/14/2014 00:00,"2014/03/13 14:43 - READY TO SHIP; 2014/03/09 18:11 - po's still not open for routing, jde / allen notified "
Warehouse: Warehouse 6,JDE Associates,2/27/2014,187010,102131,1033243,FedEx,US MARINE CORPS,12/1/2013,3/5/2014,3/14/2014 00:00,"2014/03/13 14:43 - READY TO SHIP; 2014/03/09 18:11 - po's still not open for routing, jde / allen notified "
Warehouse: Warehouse 6,JDE Associates,1/28/2014,179403,101490,5105,TRANS CARIBE,BAMBI DE HUMACAO INC,1/1/2014,5/15/2014, 00:00,2014/03/09 18:25 - unable to get ahold of carrier jde notified for assistance ; 2014/02/18 16:53 - ready to ship
Warehouse: Warehouse 6,JDE Associates,2/11/2014,182349,101899,4891,,LES MODES JM,1/1/2014,5/15/2014, 00:00,2014/03/09 18:21 - orders still on hold ( credit hold ); 2014/02/18 21:43 - ON HOLD AND NEE CUSTOM DOCS PER GWEN JDE NOTIFIED 
Warehouse: Warehouse 6,JDE Associates,2/14/2014,184093,101925,12213,FedEx,GIGI'S BABY- REKENYA DEAN,1/1/2014,4/25/2014,3/11/2014 00:00,"2014/03/09 18:36 - READY TO SHIP; 2014/02/18 21:49 - missing freight, waiting for action; PK1"
Warehouse: Warehouse 6,JDE Associates,2/20/2014,185601,101931,SPRING14,,9 MOIS MATERNITY  C/O DROOMPAC,1/15/2014,4/25/2014, 00:00,2014/03/09 18:21 - orders still on hold ( credit hold ); PK1
Warehouse: Warehouse 6,JDE Associates,3/6/2014,188605,102186,15210494,BEST OVERNITE,NEXCOM WEST COAST,1/25/2014,3/14/2014,3/13/2014 2:00:00 PM 14:00,"2014/03/12 15:33 - READY TO SHIP
SHIP ON 188608; 2014/03/09 18:56 - routed by jde, awaiting carrier assignment "
Warehouse: Warehouse 6,JDE Associates,3/6/2014,188606,102187,15210500,BEST OVERNITE,NEXCOM WEST COAST,1/25/2014,3/14/2014,3/13/2014 2:00:00 PM 14:00,"2014/03/12 15:33 - READY TO SHIP
SHIP ON 188608; 2014/03/09 18:56 - routed by jde, awaiting carrier assignment "
Warehouse: Warehouse 6,JDE Associates,3/6/2014,188607,102188,15210599,BEST OVERNITE,NEXCOM WEST COAST,1/25/2014,3/14/2014,3/13/2014 2:00:00 PM 14:00,"2014/03/12 15:33 - READY TO SHIP
SHIP ON 188608; 2014/03/09 18:56 - routed by jde, awaiting carrier assignment "
Warehouse: Warehouse 6,JDE Associates,3/6/2014,188608,102189,15210613,BEST OVERNITE,BABY TOGS,1/25/2014,3/14/2014,3/13/2014 2:00:00 PM 14:00,"2014/03/12 15:33 - READY TO SHIP
SHIP ON 188608; 2014/03/09 18:56 - routed by jde, awaiting carrier assignment "
Warehouse: Warehouse 6,JDE Associates,1/28/2014,179409,101496,102113A,LTL,COLORS,1/30/2014,2/28/2014, 00:00,2014/01/28 22:30 - WAITING FOR FREIGHT 
Warehouse: Warehouse 6,JDE Associates,2/12/2014,183249,101909,101013,,FAIRWAY FREIGHT,1/30/2014,2/28/2014, 00:00,2014/03/09 18:21 - orders still on hold ( credit hold ); 2014/02/18 16:18 - hold per gwen 
Warehouse: Warehouse 6,JDE Associates,2/24/2014,185871,101986,101013,,FAIRWAY FREIGHT,1/30/2014,3/15/2014, 00:00,2014/03/09 18:21 - orders still on hold ( credit hold )
Warehouse: Warehouse 6,JDE Associates,3/12/2014,189965,102300,11440,FedEx,TOMLINSONS,2/1/2014,3/25/2014, 00:00,
Warehouse: Warehouse 6,JDE Associates,3/7/2014,188691,102196,12214,FedEx,"LEASE AMERICA, LLC (KIDZ WORLD",2/4/2014,3/18/2014,3/12/2014 00:00,2014/03/09 19:01 - ready to ship
Warehouse: Warehouse 6,JDE Associates,2/14/2014,184089,101921,6NU2V6DI,,MY HABIT RECEIVING,2/10/2014,3/25/2014, 00:00,2014/03/09 18:30 - WILL ROUTE INSIDE SHIP WINDOW ; 2014/02/18 13:26 - ACTUAL SHIP DATE 3/25 WILL ROUTE THEN JDE NOTIFIED 
Warehouse: Warehouse 6,JDE Associates,3/6/2014,188612,102193,BULK 21414,UPS GROUND,PEANUT BUTTONS,2/14/2014,2/27/2014,3/13/2014 00:00,"2014/03/10 13:40 - READY TO SHIP, PROCESSED LABELS AND ORDERS THROUGH AMAZON SITE, TRACKING SENT, ; 2014/03/09 18:59 - working on routing and Special Project "
Warehouse: Warehouse 6,JDE Associates,3/3/2014,187821,102164,20027546,GREAT CENTRAL,SPECIALTY RETAILORS 108 - S.R.,2/15/2014,3/7/2014,3/14/2014 12:00:00 PM 12:00,"READY TO SHIP
2014/03/11 10:56 - routed online srr 120586; 2014/03/09 17:49 - po not valid per website. alicia and allen notified "
Warehouse: Warehouse 6,JDE Associates,2/28/2014,187523,102150,21714,UCL,THEUBERSHOP.COM,2/17/2014,3/5/2014,3/12/2014 2:00:00 PM 14:00,READY TO SHIP
