"Seq","Invoice No.","Invoice Date","Status","Bill-to","Bill-to Name","Ship-to","Ship-To Name","Order Type","Order No.","Order Date","Pieces*","Cartons*","Amount*`","Delivery Date","Cancel Date","Ship Via","Sales Order","Approval No.","Cxl/Void Date","Consolidator","Factor","Pick Ticket No.","Div/Dept/Class","Salesperson","Reference","Shipped Date","Store No","Must Arrive Date", 
"1","101504","01/28/2014","Billed","IM0001","IMPORTADORA MADURO","IM0001","IMPORTADORA MADURO","Original Order","68554","08/09/2013","72","6","882.00","01/01/2014","05/15/2014","CALL TO ROUTE","000363","692090","","","W","","PB-BT-2SS","BB","RGG119","","","",
"2","101502","01/28/2014","Billed","IM0001","IMPORTADORA MADURO","IM0001","IMPORTADORA MADURO","Original Order","68552","08/09/2013","324","27","2349.00","01/01/2014","05/15/2014","CALL TO ROUTE","000365","692084","","","W","","PB-GI-ROM","BB","RGG119","","","",
"3","101500","01/28/2014","Billed","IM0001","IMPORTADORA MADURO","IM0001","IMPORTADORA MADURO","Original Order","68480","08/07/2013","576","48","4434.48","01/15/2014","05/15/2014","CALL TO ROUTE","000369","692075","","","W","","PB-BI-2SS","BB","RGG119","","","",
"4","102185","03/05/2014","Billed","AC0001","ALMACENES CAMPANITA","AC0001","ALMACENES CAMPANITA","Distro (from Bulk)","SP14BULK","08/05/2013","22872","1906","159750.00","02/25/2014","03/15/2014","CALL TO ROUTE","000533","WIRE","","","","","PB-GN-5PC","EE","RGG204","","","",
"5","101490","01/28/2014","Billed","BD0001","BAMBI DE HUMACAO INC","BD0001","BAMBI DE HUMACAO INC","Original Order","5105","08/22/2013","648","54","3758.40","01/01/2014","05/15/2014","CALL TO ROUTE","000540","530465","","","W","","PB-GI-ROM","BB","RGG119","","","",
"6","101932","02/14/2014","Billed","SY0001","SANDYS","SY0001","SANDYS NASSAU BAHAMA","Original Order","1202","08/22/2013","216","18","1310.40","01/01/2014","05/15/2014","CALL TO ROUTE","000541","604959","","","W","","PB-BI-DS","BB","RGG149","","","",
"7","101914","02/14/2014","Billed","WD0001","WORLDWIDE DISTRIBUTO","WD0003","SMITH & EDWARDS COMP","Original Order","34-018275","09/24/2013","228","19","1594.56","03/01/2014","03/30/2014","UPSN-UPS","000917","978257","","","W","","PB-GN-ROM","EE","RGG147","","","",
"8","101986","02/24/2014","Billed","FF0001","PETER ELIAS","FF0001","FAIRWAY FREIGHT","Original Order","101013","10/10/2013","       12","        1","       288.00","01/30/2014","03/15/2014","CALL TO ROUTE","000962","OUT OF COU","","","","","PB-G7-DRW","EE","RGG170","","","",
"9","101725","02/04/2014","Billed","PP0001","PEPES (BENITEZ MENDE","PP0001","PEPES (BENITEZ MENDE","Original Order","0925-14","10/17/2013","72","12","540.00","11/01/2013","03/30/2014","USPS","001101","656063","","","W","","PB-GN-ROM","RG","RGG131","","","",
"10","102299","03/12/2014","Billed","JS0002","J AND S KIDSWEAR","JS0002","J AND S  KIDSWEAR #","Original Order","112608","10/21/2013","120","10","600.00","02/25/2014","03/25/2014","QUOTE UCL","001103","930135","","","W","","PB-GN-ROM","EE","RGG226","","","",
"11","101928","02/14/2014","Billed","EL0000","ELBERT DEPT STORE","EL0000","ELBERT DEPT STORE","Original Order","222077","10/21/2013","24","4","256.50","01/25/2014","03/30/2014","UPSN-UNITED PAR","001119","654563","","","W","","PB-GI-2PS","JC","RGG149","","","",
"12","102296","03/12/2014","Billed","CT0001","COOKIE'S CHIDREN'S T","CT0001","#2 COOKIE'S CHIDREN'","Original Order","608728","11/25/2013","60","5","360.00","02/25/2014","03/25/2014","WRAGTIME","001262","783378","","","W","","PB-BT-3SS","EE","RGG226","","","",
"13","102295","03/12/2014","Billed","CM0001","COOKIE'S ON MELROSE","CM0001","#4 COOKIE'S ON MELRO","Original Order","608728","11/25/2013","60","5","360.00","02/25/2014","03/25/2014","WRAGTIME","001264","783372","","","W","","PB-BT-3SS","EE","RGG226","","","",
"14","102293","03/12/2014","Billed","CK0001","COOKIES DEPT. STORES","CK0005","#5 COOKIE'S ON FULTO","Original Order","608728","11/25/2013","60","5","360.00","02/25/2014","03/25/2014","WRAGTIME","001265","783374","","","W","","PB-BT-3SS","EE","RGG226","","","",
