textbox67,Description,CreationDate,WarehouseTransactionID,ReferenceNum,PONum,Carrier,Company,EarliestShipDate,ShipCancelDate,textbox32,Notes
Warehouse: Warehouse 6,JDE Associates,11/7/2013,156275,FEDEX 11/8,,,FED EX CONFIRMATION OF,,,11/8/2013 00:00,"155987
155986
155985
155984
154218
152151
156006
156005
156004
15601
156000
155998
155997
155996
155995
155994
155991
155990
155989
155989
155988
"
Warehouse: Warehouse 6,JDE Associates,11/8/2013,156451,50155959,,,,,, 00:00,
Warehouse: Warehouse 6,JDE Associates,11/6/2013,156007,100987,3132013,FedEx,ELBERT DEPT STORE,7/25/2013,10/30/2013, 00:00,PK1
Warehouse: Warehouse 6,JDE Associates,10/1/2013,142871,100712,50613,FedEx,NEVERLAND,8/6/2013,10/20/2013,10/18/2013 00:00,"2013/10/30 19:22 - on hold per martha ; 2013/10/16 07:29 - READY TO SHIP; 2013/10/15 19:02 - will be processed 10/16 to ship by 10/18; short the following 
1093223
1093225
1093273
2093216
3093271"
Warehouse: Warehouse 6,JDE Associates,10/14/2013,150902,100814,50613,FedEx,NEVERLAND,8/6/2013,10/20/2013,10/18/2013 00:00,2013/10/30 19:22 - on hold per martha ; 2013/10/16 07:29 - READY TO SHIP; 2013/10/15 18:45 - will be processed on 10/16 to ship by end of the week 
Warehouse: Warehouse 6,JDE Associates,10/14/2013,150881,100793,100-0000253052 KS,CALL TO ROUTE,GABRIEL BROTHERS,8/15/2013,10/18/2013, 00:00,"2013/10/30 18:34 - email inquiry on status of routing, ; 2013/10/15 17:31 - short freight for all items, JDE notified "
Warehouse: Warehouse 6,JDE Associates,10/1/2013,142872,100713,SPALDING HOSIERY,FedEx,SPALDING HOSIERY SHOPPE,8/25/2013,10/25/2013, 00:00,"2013/10/15 18:54 - short freight, need reference # and eta JDE notified "
Warehouse: Warehouse 6,JDE Associates,10/4/2013,147202,100745,BOYS FALL 13,CALL TO ROUTE,JOSE DAVALOS,8/30/2013,11/5/2013, 00:00,"2013/10/30 18:48 - freight ready, unable to get ahold of customer, Eddie aware and trying to contact him as well; 2013/10/16 09:56 - Left a messge, sounded like a cell phone and not a store. ; 2013/10/15 17:03 - will call 10/16 to schedule p/u "
Warehouse: Warehouse 6,JDE Associates,9/9/2013,135422,100224,100-0000261916 KS,CALL TO ROUTE,GABRIEL BROTHERS,9/16/2013,9/26/2013, 00:00,"2013/10/30 18:39 - waiting for jde to advise if cancelled or not, buyer did not want order as was shipping too short freight ; 2013/10/15 18:17 - per routing, po refused, allen notified last week ; 2013/09/27 08:21 - ORDER FOR MORE PEICES, WILL NTO ACCEPT ROUTING PER ROUTING DEPT ; 2013/09/20 11:17 - WAITING FOR CARRIER ASSIGNMENT ; 2013/09/17 14:54 - ROUTED, WAITING FOR CARRIER ASSIGNMENT "
Warehouse: Warehouse 6,JDE Associates,11/6/2013,155993,100694,91813,FedEx,TESORO INFANTIL,9/19/2013,10/1/2013,11/9/2013 00:00,2013/11/08 18:05 - READY TO SHIP
