"Seq","Invoice No.","Invoice Date","Status","Bill-to","Bill-to Name","Ship-to","Ship-To Name","Order Type","Order No.","Order Date","Pieces*","Cartons*","Amount*`","Delivery Date","Cancel Date","Ship Via","Cxl/Void Date","Consolidator","Approval No.","Sales Order","Factor","Div/Dept/Class","Salesperson","Reference","Shipped Date","Store No","Must Arrive Date","Rank", 
"1","100146","09/03/2013","Billed","FM0001","FORMAN MILLS","FM0001","FORMAN MILLS","Original Order","299198","07/12/2013","      240","       20","     1,620.00","09/01/2013","09/30/2013","CALL TO ROUTE","","","215949","000165","W","PB-B4-3PS","JB","DG0903","","","","",
"2","100614","09/25/2013","Billed","PE0001","PEANUT BUTTONS","PE0001","PEANUT BUTTONS","Original Order","AMAZONBULK","07/31/2013","2824","248","38597.00","09/20/2013","12/30/2013","CALL TO ROUTE","08/27/2013","","NONE","000274","","PB-GN-3BS","EE","RGG255","","","","",
"3","100617","09/25/2013","Billed","AS0001","AS COOPER AND SONS","001419","A.S. COOPER BERMUDA","Original Order","33961","05/10/2013","       12","        1","       162.00","08/30/2013","10/01/2013","FEDEX GROUND","","","117285  (Exp:10/05/2013)","000017","W","PB-B4-3PS","MC","DG925E","","","","",
"4","100619","09/25/2013","Billed","AS0001","AS COOPER AND SONS","001419","A.S. COOPER BERMUDA","Original Order","33965","05/07/2013","24","2","129.60","08/15/2013","10/01/2013","FEDEX GROUND","","","117285  (Exp:10/05/2013)","000010","W","PB-GI-2PS","MC","DG925E","","","","",
"5","100620","09/25/2013","Billed","AS0001","AS COOPER AND SONS","001419","A.S. COOPER BERMUDA","Original Order","33966","05/08/2013","48","4","372.24","08/30/2013","10/01/2013","FEDEX GROUND","","","117285  (Exp:10/05/2013)","000013","W","PB-GT-3PS","MC","DG925E","","","","",
"6","100621","09/25/2013","Billed","AS0001","AS COOPER AND SONS","001419","A.S. COOPER BERMUDA","Original Order","33967","05/09/2013","24","2","346.44","08/15/2013","10/01/2013","FEDEX GROUND","","","117285  (Exp:10/05/2013)","000014","W","PB-G4-3PS","MC","DG925E","","","","",
"7","100678","10/01/2013","Billed","EL0000","ELBERT DEPT STORE","EL0000","ELBERT DEPT STORE","Original Order","03132013","03/13/2013","        6","        1","       123.00","07/25/2013","10/15/2013","FEDEX GROUND","","","391359","000519","W","PB-G4-3VS","JC","RGG301","","","","",
"8","100713","10/01/2013","Billed","SP0001","SPALDING HOSIERY SHO","SP0002","SPALDING HOSIERY SHO","Original Order","SPALDING HOSIERY","04/30/2013","96","8","1272.00","08/25/2013","10/25/2013","TRUCK","","","502106","000208","W","PB-BI-3PS","BB","DG1001","","","","",
"9","100744","10/04/2013","Billed","BU0001","BUBBY BUMS","BU0001","BUBBY BUMS","Original Order","61913","06/20/2013","48","4","531.00","08/15/2013","09/01/2013","FEDEX GROUND","","","CC","000088","","PB-GN-5PS","EE","RGG008","","","","",
"10","100747","10/07/2013","Billed","JK0001","JONATHAN K APPAREL C","JK0001","JONATHAN K APPAREL C","Original Order","5944-7942-19","09/30/2013","216","32","1143.60","10/07/2013","10/10/2013","CALL TO ROUTE","","","NONE","000932","","PB-GI-000","EE","RGG009","","","","",
