"Invoice No.","Invoice Date","Seq","Status","Bill-to","Bill-to Name","Ship-to","Ship-To Name","Order Type","Order No.","Order Date","Pieces*","Cartons*","Amount*`","Delivery Date","Cancel Date","Ship Via","Cxl/Void Date","Consolidator","Approval No.","Sales Order","Factor","Div/Dept/Class","Salesperson","Reference","Shipped Date","Store No","Must Arrive Date","Rank", 
"100619","09/25/2013","1","Billed","AS0001","AS COOPER AND SONS","001419","A.S. COOPER BERMUDA","Original Order","33965","05/07/2013","24","2","129.60","08/15/2013","10/01/2013","FEDEX GROUND","","","117285  (Exp:10/05/2013)","000010","W","PB-GI-2PS","MC","DG925E","","","","",
"100620","09/25/2013","2","Billed","AS0001","AS COOPER AND SONS","001419","A.S. COOPER BERMUDA","Original Order","33966","05/08/2013","48","4","372.24","08/30/2013","10/01/2013","FEDEX GROUND","","","117285  (Exp:10/05/2013)","000013","W","PB-GT-3PS","MC","DG925E","","","","",
"100621","09/25/2013","3","Billed","AS0001","AS COOPER AND SONS","001419","A.S. COOPER BERMUDA","Original Order","33967","05/09/2013","24","2","346.44","08/15/2013","10/01/2013","FEDEX GROUND","","","117285  (Exp:10/05/2013)","000014","W","PB-G4-3PS","MC","DG925E","","","","",
"100617","09/25/2013","4","Billed","AS0001","AS COOPER AND SONS","001419","A.S. COOPER BERMUDA","Original Order","33961","05/10/2013","       12","        1","       162.00","08/30/2013","10/01/2013","FEDEX GROUND","","","117285  (Exp:10/05/2013)","000017","W","PB-B4-3PS","MC","DG925E","","","","",
"100959","10/21/2013","5","Billed","BL0002","BLOOMINGDALES INC","000369","BLOOMINGDALES, INC.","Original Order","BABYTOGS-3798817","05/01/2013","328","41","11544.00","12/02/2013","12/06/2013","CALL TO ROUTE","","","410135","000038","W","PB-G7-DRW","AF","RGG027","","","","",
"100744","10/04/2013","6","Billed","BU0001","BUBBY BUMS","BU0001","BUBBY BUMS","Original Order","61913","06/20/2013","48","4","531.00","08/15/2013","09/01/2013","FEDEX GROUND","","","CC","000088","","PB-GN-5PS","EE","RGG008","","","","",
"101045","10/31/2013","7","Billed","DS0001","DIRECT SUPPLIES","DS0001","DIRECT SUPPLIES","Original Order","DIRECT13043015140","05/02/2013","1578","263","13482.00","10/01/2013","10/15/2013","DIRECT","","","CC","000090","","PB-GI-DRK","EE","RZZ010","","","","",
"100899","10/16/2013","8","Billed","GA0001","GARLANS FASHION APPA","GA0001","GARLANS FASHION APPA","Original Order","11382","05/01/2013","30","5","382.50","08/01/2013","08/30/2013","UPS COLLECT","","","108618","000125","W","PB-GN-3BS","BB","RGG019","","","","",
"100793","10/14/2013","9","Billed","GB0001","GABRIEL BROTHERS","GB0001","GABRIEL BROTHERS","Original Order","100-0000253052 KS","06/17/2013","720","60","2880.00","08/15/2013","10/18/2013","CALL TO ROUTE","","","382698","000129","W","PB-BI-2PS","JB","RGG017","","","","",
"100989","10/25/2013","10","Billed","GB0001","GABRIEL BROTHERS","GB0001","GABRIEL BROTHERS","Original Order","100-0000261916 KS","06/28/2013","1080","90","5400.00","11/01/2013","11/11/2013","CALL TO ROUTE","","","382698","000131","W","PB-BI-3PS","AF","RGG036","","","","",
"100900","10/16/2013","11","Billed","GA0001","GARLANS FASHION APPA","GA0001","GARLANS FASHION APPA","Original Order","11383","05/01/2013","42","7","547.50","09/01/2013","09/25/2013","UPS COLLECT","","","108618","000137","W","PB-GN-3BS","BB","RGG019","","","","",
"100745","10/04/2013","12","Billed","JS0001","JOSE DAVALOS","JS0001","JOSE DAVALOS","Original Order","BOYS FALL 13","05/01/2013","1968","164","15541.20","08/30/2013","11/05/2013","CALL TO ROUTE","","","CC","000140","","PB-BI-2PS","MC","RGG008","","","","",
"100146","09/03/2013","13","Billed","FM0001","FORMAN MILLS","FM0001","FORMAN MILLS","Original Order","299198","07/12/2013","      240","       20","     1,620.00","09/01/2013","09/30/2013","CALL TO ROUTE","","","215949","000165","W","PB-B4-3PS","JB","DG0903","","","","",
"100821","10/14/2013","14","Billed","ST0001","STAGE STORES INC","000707","SPECIALTY RETAILORS","Original Order","20020538","06/18/2013","48","4","336.00","10/12/2013","10/18/2013","TRUCK","","","502057","000185","W","PB-B4-3PS","AF","RGG017","","","","",
"100824","10/14/2013","15","Billed","ST0001","STAGE STORES INC","000707","SPECIALTY RETAILORS","Original Order","20020545","06/18/2013","       24","        2","       168.00","10/12/2013","10/18/2013","TRUCK","","","502057","000193","W","PB-G4-3PS","AF","RGG017","","","","",
"100816","10/14/2013","16","Billed","ST0001","STAGE STORES INC","000707","SPECIALTY RETAILORS","Original Order","20020530","06/19/2013","108","9","648.00","10/12/2013","10/18/2013","TRUCK","","","502057","000201","W","PB-BI-3PS","AF","RGG017","","","","",
"100818","10/14/2013","17","Billed","ST0001","STAGE STORES INC","000707","SPECIALTY RETAILORS","Original Order","20020532","06/19/2013","72","6","504.00","10/12/2013","10/18/2013","TRUCK","","","502057","000203","W","PB-B4-3PS","AF","RGG017","","","","",
"100966","10/22/2013","18","Billed","SO0001","SOPHIAS STYLE BOUTIQ","SO0001","SOPHIAS STYLE BOUTIQ","Original Order","1019","05/10/2013","24","2","336.00","07/01/2013","08/31/2013","UPS COLLECT","","","CC","000207","","PB-GT-3PS","JC","RGG029","","","","",
"100713","10/01/2013","19","Billed","SP0001","SPALDING HOSIERY SHO","SP0002","SPALDING HOSIERY SHO","Original Order","SPALDING HOSIERY","04/30/2013","96","8","1272.00","08/25/2013","10/25/2013","TRUCK","","","502106","000208","W","PB-BI-3PS","BB","DG1001","","","","",
"100819","10/14/2013","20","Billed","ST0001","STAGE STORES INC","000707","SPECIALTY RETAILORS","Original Order","20020534","06/19/2013","       72","        6","       468.00","10/12/2013","10/18/2013","TRUCK","","","502057","000217","W","PB-GT-3PS","AF","RGG017","","","","",
"100820","10/14/2013","21","Billed","ST0001","STAGE STORES INC","000707","SPECIALTY RETAILORS","Original Order","20020535","06/19/2013","       36","        3","       252.00","10/12/2013","10/18/2013","TRUCK","","","502057","000218","W","PB-G4-3PS","AF","RGG017","","","","",
"101049","11/01/2013","22","Billed","DG0001","DOLGENCORP LLC","000519","DOLLAR GENERAL,LLC.","Original Order","F0Y5MH","10/17/2013","8016","167","24048.00","11/10/2013","11/10/2013","CALL TO ROUTE","","","592554","000239","W","PB-GN-3BS","DS","RGG049","","","","",
"100742","10/04/2013","23","Billed","DA0001","DATOS DEL IMPORADOR","DA0001","DATOS DEL IMPORADOR","Original Order","DATOS","04/30/2013","2976","248","22831.20","10/15/2013","10/20/2013","CALL TO ROUTE","","","WIRE","000272","","PB-GN-8PS","EE","RGG008","","","","",
"100614","09/25/2013","24","Billed","PE0001","PEANUT BUTTONS","PE0001","PEANUT BUTTONS","Original Order","AMAZONBULK","07/31/2013","2824","248","38597.00","09/20/2013","12/30/2013","CALL TO ROUTE","08/27/2013","","NONE","000274","","PB-GN-3BS","EE","RGG255","","","","",
"100750","10/08/2013","25","Billed","JS0002","J AND S KIDSWEAR","JS0002","J AND S  KIDSWEAR #","Original Order","110740","06/17/2013","       36","        3","       540.00","08/25/2013","09/25/2013","","","","512330","000303","W","PB-GI-3VS","EE","RGG010","","","","",
"100909","10/16/2013","26","Billed","US0001","US MARINE CORPS","001405","US MARINE CORPS","Original Order","1123","06/06/2013","18","3","129.60","10/02/2013","11/04/2013","FEDEX GROUND","","","503636","000408","W","PB-BI-2PS","AF","RGG019","","","","",
"100835","10/14/2013","27","Billed","US0001","US MARINE CORPS","001405","US MARINE CORPS","Original Order","1255","05/02/2013","72","6","552.00","10/02/2013","11/04/2013","CALL TO ROUTE","","","390731","000415","W","PB-GT-3VS","AF","RGG017","","","","",
"101060","11/01/2013","28","Billed","AL0001","ALCO STORES","001688","ALCO STORES","Original Order","804050","07/31/2013","5688","948","51192.00","10/25/2013","11/08/2013","UPS COLLECT","","","509157","000422","W","PB-G4-DRW","AF","RGG050","","","","",
"101067","11/04/2013","29","Billed","GO0001","GONZALEZ ASSOCIATES","GO0001","GONZALEZ ASSOCIATES","Original Order","SAL-3813","08/28/2013","456","76","5040.00","09/20/2013","10/10/2013","CALL TO ROUTE","09/04/2013","","569755","000449","W","PB-GI-DRW","EE","RGG053","","","","",
