"Seq","Pick Ticket No.","Invoice No.","Status","Bill-to","Bill-to Name","Ship-to","Ship-To Name","Order Type","Order No.","Order Date","Pieces*","Cartons*","Amount*`","Delivery Date","Cancel Date","Ship Via","Cxl/Void Date","Consolidator","Approval No.","Sales Order","Factor","Div/Dept/Class","Salesperson","Invoice Date","Reference","Shipped Date","Store No","Must Arrive Date", 
"1","","101386","Billed","DG0001","DOLGENCORP LLC","000527","DOLLAR GENERAL,LLC.","Distro (from Bulk)","F11581","12/10/2013","864","18","1785.60","01/15/2014","01/15/2014"," VENDOR PORTAL","","","592554","001395","W","PB-GN-ROM","DS","01/07/2014","RGG103","","","",
"2","","101387","Billed","DG0001","DOLGENCORP LLC","000519","DOLLAR GENERAL,LLC.","Distro (from Bulk)","F1157R","12/11/2013","1344","28","2774.40","01/15/2014","01/15/2014"," VENDOR PORTAL","","","592554","001404","W","PB-GN-ROM","DS","01/07/2014","RGG103","","","",
"3","","101388","Billed","DG0001","DOLGENCORP LLC","000520","DOLLAR GENERAL,LLC.","Distro (from Bulk)","F1157T","12/11/2013","4608","96","9494.40","01/15/2014","01/15/2014"," VENDOR PORTAL","","","592554","001403","W","PB-GN-ROM","DS","01/07/2014","RGG103","","","",
"4","","101389","Billed","DG0001","DOLGENCORP LLC","000521","DOLLAR GENERAL,LLC.","Distro (from Bulk)","F1157V","12/11/2013","1104","23","2280.00","01/15/2014","01/15/2014"," VENDOR PORTAL","","","592554","001402","W","PB-GN-ROM","DS","01/07/2014","RGG103","","","",
"5","","101390","Billed","DG0001","DOLGENCORP LLC","000522","DOLLAR GENERAL,LLC.","Distro (from Bulk)","F1157W","12/11/2013","1968","41","4060.80","01/15/2014","01/15/2014"," VENDOR PORTAL","","","592554","001401","W","PB-GN-ROM","DS","01/07/2014","RGG103","","","",
"6","","101391","Billed","DG0001","DOLGENCORP LLC","000524","DOLLAR GENERAL,LLC.","Distro (from Bulk)","F1157X","12/10/2013","1584","33","3268.80","01/15/2014","01/15/2014"," VENDOR PORTAL","","","592554","001398","W","PB-GN-ROM","DS","01/07/2014","RGG103","","","",
"7","","101392","Billed","DG0001","DOLGENCORP LLC","000525","DOLLAR GENERAL,LLC.","Distro (from Bulk)","F1157Y","12/10/2013","2400","50","4948.80","01/15/2014","01/15/2014"," VENDOR PORTAL","","","592554","001397","W","PB-GN-ROM","DS","01/07/2014","RGG103","","","",
"8","","101393","Billed","DG0001","DOLGENCORP LLC","000526","DOLLAR GENERAL,LLC.","Distro (from Bulk)","F11580","12/10/2013","1488","31","3072.00","01/15/2014","01/15/2014"," VENDOR PORTAL","","","592554","001396","W","PB-GN-ROM","DS","01/07/2014","RGG103","","","",
"9","","101394","Billed","DG0001","DOLGENCORP LLC","000528","DOLLAR GENERAL,LLC.","Distro (from Bulk)","F11582","12/10/2013","1680","35","3470.40","01/15/2014","01/15/2014"," VENDOR PORTAL","","","592554","001394","W","PB-GN-ROM","DS","01/07/2014","RGG103","","","",
"10","","101395","Billed","DG0001","DOLGENCORP LLC","000529","DOLLAR GENERAL,LLC.","Distro (from Bulk)","F11583","12/10/2013","1824","38","3758.40","01/15/2014","01/15/2014"," VENDOR PORTAL","","","592554","001393","W","PB-GN-ROM","DS","01/07/2014","RGG103","","","",
"11","","101396","Billed","DG0001","DOLGENCORP LLC","000530","DOLLAR GENERAL,LLC.","Distro (from Bulk)","F11584","12/10/2013","432","9","892.80","01/15/2014","01/15/2014"," VENDOR PORTAL","","","592554","001392","W","PB-GN-ROM","DS","01/07/2014","RGG103","","","",
"12","","101397","Billed","DG0001","DOLGENCORP LLC","002906","DOLLAR GENERAL","Distro (from Bulk)","F11585","12/10/2013","720","15","1483.20","01/15/2014","01/15/2014","CALL TO ROUTE","","","592554","001391","W","PB-GN-ROM","DS","01/07/2014","RGG103","","","",
"13","","101406","Billed","BD0001","BAMBI DE HUMACAO INC","BD0001","BAMBI DE HUMACAO INC","Original Order","5105","08/22/2013","96","8","556.80","01/01/2014","05/15/2014","CALL TO ROUTE","","","530465","000540","W","PB-BN-DS","BB","01/09/2014","RGG104","","","",
"14","","101407","Billed","IM0001","IMPORTADORA MADURO","IM0001","IMPORTADORA MADURO","Original Order","68480","08/07/2013","108","9","1493.64","01/15/2014","05/15/2014","CALL TO ROUTE","","","692075","000369","W","PB-BI-3SS","BB","01/09/2014","RGG104","","","",
"15","","101408","Billed","IM0001","IMPORTADORA MADURO","IM0001","IMPORTADORA MADURO","Original Order","68481","08/07/2013","       36","        3","       594.00","01/15/2014","05/15/2014","CALL TO ROUTE","","","692078","000368","W","PB-G4-3SS","BB","01/09/2014","RGG104","","","",
"16","","101409","Billed","IM0001","IMPORTADORA MADURO","IM0001","IMPORTADORA MADURO","Original Order","68550","08/09/2013","72","6","1098.00","01/01/2014","05/15/2014","CALL TO ROUTE","","","692080","000367","W","PB-GT-3SS","BB","01/09/2014","RGG104","","","",
"17","","101410","Billed","IM0001","IMPORTADORA MADURO","IM0001","IMPORTADORA MADURO","Original Order","68551","08/09/2013","252","21","1935.00","01/15/2014","05/15/2014","CALL TO ROUTE","","","692082","000366","W","PB-BN-2SL","BB","01/09/2014","RGG104","","","",
"18","","101411","Billed","IM0001","IMPORTADORA MADURO","IM0001","IMPORTADORA MADURO","Original Order","68552","08/09/2013","180","15","2162.16","01/01/2014","05/15/2014","CALL TO ROUTE","","","692084","000365","W","PB-GI-2LS","BB","01/09/2014","RGG104","","","",
"19","","101412","Billed","IM0001","IMPORTADORA MADURO","IM0001","IMPORTADORA MADURO","Original Order","68553","08/09/2013","144","12","1188.00","01/15/2014","05/15/2014","CALL TO ROUTE","","","692087","000364","W","PB-GN-DS","BB","01/09/2014","RGG104","","","",
"20","","101413","Billed","IM0001","IMPORTADORA MADURO","IM0001","IMPORTADORA MADURO","Original Order","68554","08/09/2013","108","9","1647.00","01/01/2014","05/15/2014","CALL TO ROUTE","","","692090","000363","W","PB-BT-3SS","BB","01/09/2014","RGG104","","","",
"21","","101414","Billed","MA0001","THE MARMAXX GROUP","MA0001","MARSHALLS","Original Order","03852631","09/19/2013","14400","2400","82800.00","01/17/2014","01/27/2014","CALL TO ROUTE","","","414279","000495","W","PB-GI-2LS","AF","01/09/2014","RGG104","","","",
"22","","101415","Billed","SY0001","SANDYS","SY0001","SANDYS NASSAU BAHAMA","Original Order","1202","08/22/2013","252","21","1756.80","01/01/2014","05/15/2014","CALL TO ROUTE","","","604959","000541","W","PB-BI-2SL","BB","01/09/2014","RGG104","","","",
"23","","101416","Billed","TJ0001","TJ MAXX","TJ0894","TJ MAXX CHARLOTTE","Original Order","40 852633","09/19/2013","4560","760","26448.00","01/17/2014","01/27/2014","CALL TO ROUTE","","","414277","000380","W","PB-GT-2LS","AF","01/09/2014","RGG104","","","",
"24","","101417","Billed","TJ0001","TJ MAXX","TJ0896","TJ MAXX WORCESTER","Original Order","60 852633","09/19/2013","1752","292","10164.00","01/17/2014","01/27/2014","CALL TO ROUTE","","","414277","000810","W","PB-GT-2LS","AF","01/09/2014","RGG104","","","",
"25","","101418","Billed","TJ0001","TJ MAXX","TJ0897","TJ MAXX EVANSVILLE","Original Order","70 852633","09/23/2013","3288","548","19068.00","01/17/2014","01/27/2014","CALL TO ROUTE","","","414277","000811","W","PB-GT-2LS","AF","01/09/2014","RGG104","","","",
"26","","101419","Billed","TJ0001","TJ MAXX","TJ0898","TJ MAXX LAS VEGAS","Original Order","80 852633","09/19/2013","2400","400","13920.00","01/17/2014","01/27/2014","CALL TO ROUTE","","","414277","000812","W","PB-GT-2LS","AF","01/09/2014","RGG104","","","",
"27","","101421","Billed","MA0001","THE MARMAXX GROUP","MA0881","MARSHALLS (MAR LAS V","Distro (from Bulk)","01 201339","01/10/2014","      954","      159","     4,770.00","01/15/2014","01/25/2014","CALL TO ROUTE","","","LINE GB","001885","W","PB-G4-DRS","AF","01/13/2014","RGG106","","","",
"28","","101422","Billed","MA0001","THE MARMAXX GROUP","MA0886","MARSHALLS (BRIDGEWAT","Distro (from Bulk)","06 201339","01/10/2014","      474","       79","     2,370.00","01/15/2014","01/25/2014","CALL TO ROUTE","","","LINE GB","001886","W","PB-G4-DRS","AF","01/13/2014","RGG106","","","",
"29","","101423","Billed","MA0001","THE MARMAXX GROUP","MA0887","MARSHALLS (ATLANTA)","Distro (from Bulk)","07201339","01/10/2014","      474","       79","     2,370.00","01/15/2014","01/25/2014","CALL TO ROUTE","","","LINE GB","001887","W","PB-G4-DRS","AF","01/13/2014","RGG106","","","",
"30","","101424","Billed","MA0001","THE MARMAXX GROUP","MA0888","MARSHALLS (WOBURN)","Distro (from Bulk)","08 201339","01/10/2014","      474","       79","     2,370.00","01/15/2014","01/25/2014","CALL TO ROUTE","","","LINE GB","001888","W","PB-G4-DRS","AF","01/13/2014","RGG106","","","",
"31","","101425","Billed","TJ0001","TJ MAXX","TJ0894","TJ MAXX CHARLOTTE","Original Order","40 201340","01/10/2014","      774","      129","     3,870.00","01/15/2014","01/25/2014","CALL TO ROUTE","","","LINE GB","001881","W","PB-G4-DRS","AF","01/13/2014","RGG106","","","",
"32","","101426","Billed","TJ0001","TJ MAXX","TJ0896","TJ MAXX WORCESTER","Distro (from Bulk)","60 201340","01/10/2014","      348","       58","     1,740.00","01/15/2014","01/25/2014","CALL TO ROUTE","","","LINE GB","001882","W","PB-G4-DRS","AF","01/13/2014","RGG106","","","",
"33","","101427","Billed","TJ0001","TJ MAXX","TJ0897","TJ MAXX EVANSVILLE","Distro (from Bulk)","70 201340","01/10/2014","      804","      134","     4,020.00","01/15/2014","01/25/2014","CALL TO ROUTE","","","LINE GB","001883","W","PB-G4-DRS","AF","01/13/2014","RGG106","","","",
"34","","101428","Billed","TJ0001","TJ MAXX","TJ0898","TJ MAXX LAS VEGAS","Distro (from Bulk)","80 201340","01/10/2014","      450","       75","     2,250.00","01/15/2014","01/25/2014","CALL TO ROUTE","","","LINE GB","001884","W","PB-G4-DRS","AF","01/13/2014","RGG106","","","",
"35","","101429","Billed","US0001","US MARINE CORPS","001399","US MARINE CORPS","Distro (from Bulk)","1033204","01/06/2014","48","4","312.00","12/01/2013","01/15/2014","CALL TO ROUTE","","","591974  (Exp:07/31/2014)","001795","W","PB-GN-2LS","AF","01/14/2014","RGG107","","","",
"36","","101430","Billed","US0001","US MARINE CORPS","001401","US MARINE CORPS","Distro (from Bulk)","1033204","01/06/2014","48","4","312.00","12/01/2013","01/15/2014","CALL TO ROUTE","","","591974  (Exp:07/31/2014)","001796","W","PB-GN-2LS","AF","01/14/2014","RGG107","","","",
"37","","101431","Billed","US0001","US MARINE CORPS","001402","US MARINE CORPS","Distro (from Bulk)","1033204","01/06/2014","48","4","312.00","12/01/2013","01/15/2014","CALL TO ROUTE","","","591974  (Exp:07/31/2014)","001797","W","PB-GN-2LS","AF","01/14/2014","RGG107","","","",
"38","","101432","Billed","US0001","US MARINE CORPS","001406","US MARINE CORPS","Distro (from Bulk)","1033204","01/06/2014","48","4","312.00","12/01/2013","01/15/2014","CALL TO ROUTE","","","591974  (Exp:07/31/2014)","001798","W","PB-GN-2LS","AF","01/14/2014","RGG107","","","",
"39","","101433","Billed","US0001","US MARINE CORPS","001407","US MARINE CORPS","Distro (from Bulk)","1033204","01/06/2014","48","4","312.00","12/01/2013","01/15/2014","CALL TO ROUTE","","","591974  (Exp:07/31/2014)","001791","W","PB-GN-2LS","AF","01/14/2014","RGG107","","","",
"40","","101434","Billed","US0001","US MARINE CORPS","001408","US MARINE CORPS","Distro (from Bulk)","1033204","01/06/2014","48","4","312.00","12/01/2013","01/15/2014","CALL TO ROUTE","","","591974  (Exp:07/31/2014)","001792","W","PB-GN-2LS","AF","01/14/2014","RGG107","","","",
"41","","101435","Billed","US0001","US MARINE CORPS","001409","US MARINE CORPS","Distro (from Bulk)","1033204","01/06/2014","48","4","312.00","12/01/2013","01/15/2014","CALL TO ROUTE","","","591974  (Exp:07/31/2014)","001793","W","PB-GN-2LS","AF","01/14/2014","RGG107","","","",
"42","","101436","Billed","US0001","US MARINE CORPS","001410","US MARINE CORPS","Distro (from Bulk)","1033204","01/06/2014","48","4","312.00","12/01/2013","01/15/2014","CALL TO ROUTE","","","591974  (Exp:07/31/2014)","001794","W","PB-GN-2LS","AF","01/14/2014","RGG107","","","",
"43","","101437","Billed","UA0001","ULTIMATE APPAREL","UA0001","ULTIMATE APPAREL/ROA","Original Order","11314E","01/13/2014","2244","187","11220.00","01/13/2014","01/27/2014","CALL TO ROUTE","","","879538","001891","W","PB-GN-5PC","AF","01/14/2014","RGG108","","","",
